ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
Beespeed,体育运动,com.bozlun.bee.speed,http://privacy.berace.com.cn/privacy_ch.html,success
嗨动AI,体育运动,com.hidoba.aisport,https://ai-h5.hidbb.com/privacyPolicy,success
RQ,体育运动,cn.runningquotient.rq,https://www.runningquotient.cn/site/license,success
多锐,体育运动,com.hnjc.dl,https://www.12sporting.com/appcms/xieyi/1400.html,success
超级计步宝,体育运动,com.kiigames.superjibubao.sjbb,https://home.haokeapp.com/col.jsp?id=169,success
雷速体育,体育运动,com.leisu.sports,https://h5.leisu.com/static/privacy.html,success
行者,体育运动,im.xingzhe,http://www.imxingzhe.com/document/485,success
训记,体育运动,com.trainnote.rn,https://xunji.implements.io/xunji_android_policy,success
引体向上,体育运动,com.tanma.sportsguide,https://waph5.scleader.cn/page/myInfo/agreement/index.html?type=2,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
天天走财运,体育运动,com.ttzcy.caiyun,http://share.norlinked.com/terms/tiantianzoucaiyun/privacypolicy.html ,success
虎虎计步,体育运动,banana.tiger.tigerstepssecond,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203091001,success
朝夕运动,体育运动,com.czh.sport,http://www.chuangzhihe.com/yduserAgreement.html,success
WeGym,体育运动,osl.wegym.app,http://www.wegymtraining.com/App/Wegym/PrivacyPolicy.html,success
雪缘园足球,体育运动,com.gooooal.app.events,http://pic.gooooal.com/app/privacy.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
正洲微马,体育运动,com.zhengzhou.sport,https://zzsportpub.szhhxh.com:4433/privacy,success
欢乐计步宝,体育运动,a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html,success
精球体育-即时比分与进球短视频,体育运动,cn.belltrip.sport_app,https://www.jingqiutiyu.cn/privacy.html,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
智能走路宝,体育运动,big.dragon.smartpedometer,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203087001,success
趣动Will Go,体育运动,com.ruidonghy.will,https://h5.wewillpro.com/#/privacypolicy,success
热力足球-Heat Football,体育运动,com.yumimobi.heatfootball.xm,https://heatfootball.com/privacyPolicy.html,success
天天趣走路,体育运动,good.fish.funwalkeverydaynext,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203084001,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
乐心健康,体育运动,gz.lifesense.weidong,https://cdn.lifesense.com/common/#/privacyPolicy,success
Loop,体育运动,com.justjump.loop,https://s.loopsports.cn/privacy,success
功夫链,体育运动,com.fl.gfl,http://www.kungfuchain.com/agreement/gfl_privacy_agreement.html,success
EConnected,体育运动,com.tymate.domyos.connected,https://www.decathlon.com.cn/zh/about/privacy-policy/_/R-a-privacy-policy,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
Beespeed,体育运动,com.bozlun.bee.speed,http://privacy.berace.com.cn/privacy_ch.html,success
嗨动AI,体育运动,com.hidoba.aisport,https://ai-h5.hidbb.com/privacyPolicy,success
RQ,体育运动,cn.runningquotient.rq,https://www.runningquotient.cn/site/license,success
多锐,体育运动,com.hnjc.dl,https://www.12sporting.com/appcms/xieyi/1400.html,success
超级计步宝,体育运动,com.kiigames.superjibubao.sjbb,https://home.haokeapp.com/col.jsp?id=169,success
雷速体育,体育运动,com.leisu.sports,https://h5.leisu.com/static/privacy.html,success
行者,体育运动,im.xingzhe,http://www.imxingzhe.com/document/485,success
训记,体育运动,com.trainnote.rn,https://xunji.implements.io/xunji_android_policy,success
引体向上,体育运动,com.tanma.sportsguide,https://waph5.scleader.cn/page/myInfo/agreement/index.html?type=2,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
天天走财运,体育运动,com.ttzcy.caiyun,http://share.norlinked.com/terms/tiantianzoucaiyun/privacypolicy.html ,success
虎虎计步,体育运动,banana.tiger.tigerstepssecond,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203091001,success
朝夕运动,体育运动,com.czh.sport,http://www.chuangzhihe.com/yduserAgreement.html,success
WeGym,体育运动,osl.wegym.app,http://www.wegymtraining.com/App/Wegym/PrivacyPolicy.html,success
雪缘园足球,体育运动,com.gooooal.app.events,http://pic.gooooal.com/app/privacy.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
正洲微马,体育运动,com.zhengzhou.sport,https://zzsportpub.szhhxh.com:4433/privacy,success
欢乐计步宝,体育运动,a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html,success
精球体育-即时比分与进球短视频,体育运动,cn.belltrip.sport_app,https://www.jingqiutiyu.cn/privacy.html,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
智能走路宝,体育运动,big.dragon.smartpedometer,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203087001,success
趣动Will Go,体育运动,com.ruidonghy.will,https://h5.wewillpro.com/#/privacypolicy,success
热力足球-Heat Football,体育运动,com.yumimobi.heatfootball.xm,https://heatfootball.com/privacyPolicy.html,success
天天趣走路,体育运动,good.fish.funwalkeverydaynext,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203084001,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
乐心健康,体育运动,gz.lifesense.weidong,https://cdn.lifesense.com/common/#/privacyPolicy,success
Loop,体育运动,com.justjump.loop,https://s.loopsports.cn/privacy,success
功夫链,体育运动,com.fl.gfl,http://www.kungfuchain.com/agreement/gfl_privacy_agreement.html,success
EConnected,体育运动,com.tymate.domyos.connected,https://www.decathlon.com.cn/zh/about/privacy-policy/_/R-a-privacy-policy,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
QueenRun,体育运动,com.whllzx.queue,https://app.queenrun.cn/privacy/,success
Flow Fit,体育运动,com.hwd.lifefit,http://8.210.150.172:8080/fit/protocolById?id=8,success
Olin Fit,体育运动,com.olinfit.honglinapp,https://api.hlcrazy.com/api/comm/privacy,success
疯狂看球,体育运动,com.halo.fkkq,http://cms.halomobi.com/api/siteapi/page?key=fkkq-yszc,success
时分计步,体育运动,com.xmbranch.shifen,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=150135,success
运动高手秀,体育运动,org.qingzhou.cn.sportshow,https://sportpro.net.cn/static/privacy.htm,success
Hard,体育运动,com.walnutin.hardsport,http://hard.walnutin.com:8090/hard/about/yszccn.html,success
功夫者,体育运动,gfz.kf.com.kungfuzhe,http://www.gongfuzhe.com/agreement/privacyagreement/,success
JClife,体育运动,com.jstyle.jclife,https://h5.le-young.com/medical/JCLife_privacy_policy_zh,success
光合熊猫,体育运动,com.shesports.app,http://www.soullife.com.cn/agreements/privacy.html,success
广场舞多多,体育运动,com.duoduo.oldboy,https://main.gcwduoduo.com/bama/private_policy/gcw_hw.html,success
指寻机构端,体育运动,com.zhixun.orienteer_trainer,https://infomation.funfindsport.com/protocol/inst-privacy.html,success
指寻,体育运动,com.zhixun.orienteer_app,https://infomation.funfindsport.com/protocol/privacy.html,success
悦动圈,体育运动,com.yuedong.sport,https://d.51yund.com/yd_privacy.html,success
数字心动,体育运动,com.chinaath.szxd,https://race.shuzixindong.com/#/privacyPolicy,success
FansMall,体育运动,fansmall.app,https://interface.shfansmall.com/agreement/privacy,success
律动健康,体育运动,com.ld.spriteld,http://health.lvd.fit/privacyPolicy,success
海健身,体育运动,com.lc.fitnesscircle,https://fitness.lctygj.com/page/privacy_policy,success
云犀,体育运动,com.yx.yunxhs,https://www.yunx.tech/operate-h5/#/policy,success
UOIN,体育运动,com.irskj.aiyou,https://ayfile.aiyoukit.com/files/android/privacy_policy.html,success
爱动骑行世界,体育运动,com.aidong.addc,http://coach.aidong.me/privacy/privacy.html,success
千步有宝,体育运动,com.kiigames.qianbuyoubao2.qbyb2,http://home.zoulubao.com/col.jsp?id=187,success
木卫六,体育运动,com.movevi.android.app,http://wap.movevi.com/html/privacy.html,success
双动,体育运动,com.toodo.toodo,https://toodo.com.cn/toodoweb/policy/,success
铁马高尔夫,体育运动,com.tiemagolf,https://m-vue.tmgolf.cn/staticPage/privacy?from=minapp,success
雷趣体育APP,体育运动,com.leiqu.app,https://www.leiqu.com/pc/privacy/,success
行动榜,体育运动,com.badgerxdb,https://www.myxdb.com/share/privacy.html,success
BodyToBe,体育运动,com.cinkate.bodytobe,http://www.lifeclock.cn//Privacyrights/index,success
Wake瑜伽,体育运动,com.wakeyoga.wakeyoga,http://h5.wakeyoga.com/wake_html/privacyAgr.html,success
律跑,体育运动,com.fitnessharbor.v2,https://lvpao.jianrenmatou.com/static/front/DKGZLVPAOYSXY.html,success
Beespeed,体育运动,com.bozlun.bee.speed,http://privacy.berace.com.cn/privacy_ch.html,success
嗨动AI,体育运动,com.hidoba.aisport,https://ai-h5.hidbb.com/privacyPolicy,success
RQ,体育运动,cn.runningquotient.rq,https://www.runningquotient.cn/site/license,success
多锐,体育运动,com.hnjc.dl,https://www.12sporting.com/appcms/xieyi/1400.html,success
超级计步宝,体育运动,com.kiigames.superjibubao.sjbb,https://home.haokeapp.com/col.jsp?id=169,success
雷速体育,体育运动,com.leisu.sports,https://h5.leisu.com/static/privacy.html,success
行者,体育运动,im.xingzhe,http://www.imxingzhe.com/document/485,success
训记,体育运动,com.trainnote.rn,https://xunji.implements.io/xunji_android_policy,success
引体向上,体育运动,com.tanma.sportsguide,https://waph5.scleader.cn/page/myInfo/agreement/index.html?type=2,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
天天走财运,体育运动,com.ttzcy.caiyun,http://share.norlinked.com/terms/tiantianzoucaiyun/privacypolicy.html ,success
虎虎计步,体育运动,banana.tiger.tigerstepssecond,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203091001,success
朝夕运动,体育运动,com.czh.sport,http://www.chuangzhihe.com/yduserAgreement.html,success
WeGym,体育运动,osl.wegym.app,http://www.wegymtraining.com/App/Wegym/PrivacyPolicy.html,success
雪缘园足球,体育运动,com.gooooal.app.events,http://pic.gooooal.com/app/privacy.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
正洲微马,体育运动,com.zhengzhou.sport,https://zzsportpub.szhhxh.com:4433/privacy,success
欢乐计步宝,体育运动,a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html,success
精球体育-即时比分与进球短视频,体育运动,cn.belltrip.sport_app,https://www.jingqiutiyu.cn/privacy.html,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
智能走路宝,体育运动,big.dragon.smartpedometer,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203087001,success
趣动Will Go,体育运动,com.ruidonghy.will,https://h5.wewillpro.com/#/privacypolicy,success
热力足球-Heat Football,体育运动,com.yumimobi.heatfootball.xm,https://heatfootball.com/privacyPolicy.html,success
天天趣走路,体育运动,good.fish.funwalkeverydaynext,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203084001,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
乐心健康,体育运动,gz.lifesense.weidong,https://cdn.lifesense.com/common/#/privacyPolicy,success
Loop,体育运动,com.justjump.loop,https://s.loopsports.cn/privacy,success
功夫链,体育运动,com.fl.gfl,http://www.kungfuchain.com/agreement/gfl_privacy_agreement.html,success
EConnected,体育运动,com.tymate.domyos.connected,https://www.decathlon.com.cn/zh/about/privacy-policy/_/R-a-privacy-policy,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
Beespeed,体育运动,com.bozlun.bee.speed,http://privacy.berace.com.cn/privacy_ch.html,success
嗨动AI,体育运动,com.hidoba.aisport,https://ai-h5.hidbb.com/privacyPolicy,success
RQ,体育运动,cn.runningquotient.rq,https://www.runningquotient.cn/site/license,success
多锐,体育运动,com.hnjc.dl,https://www.12sporting.com/appcms/xieyi/1400.html,success
超级计步宝,体育运动,com.kiigames.superjibubao.sjbb,https://home.haokeapp.com/col.jsp?id=169,success
雷速体育,体育运动,com.leisu.sports,https://h5.leisu.com/static/privacy.html,success
行者,体育运动,im.xingzhe,http://www.imxingzhe.com/document/485,success
训记,体育运动,com.trainnote.rn,https://xunji.implements.io/xunji_android_policy,success
引体向上,体育运动,com.tanma.sportsguide,https://waph5.scleader.cn/page/myInfo/agreement/index.html?type=2,success
小小运动家,体育运动,com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html,success
天天走财运,体育运动,com.ttzcy.caiyun,http://share.norlinked.com/terms/tiantianzoucaiyun/privacypolicy.html ,success
虎虎计步,体育运动,banana.tiger.tigerstepssecond,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203091001,success
朝夕运动,体育运动,com.czh.sport,http://www.chuangzhihe.com/yduserAgreement.html,success
WeGym,体育运动,osl.wegym.app,http://www.wegymtraining.com/App/Wegym/PrivacyPolicy.html,success
雪缘园足球,体育运动,com.gooooal.app.events,http://pic.gooooal.com/app/privacy.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
正洲微马,体育运动,com.zhengzhou.sport,https://zzsportpub.szhhxh.com:4433/privacy,success
欢乐计步宝,体育运动,a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html,success
精球体育-即时比分与进球短视频,体育运动,cn.belltrip.sport_app,https://www.jingqiutiyu.cn/privacy.html,success
球迷帮,体育运动,com.ronghang.liteav.sports,https://h5.1024ball.com/dev/html/static/privacy.html,success
智能走路宝,体育运动,big.dragon.smartpedometer,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203087001,success
趣动Will Go,体育运动,com.ruidonghy.will,https://h5.wewillpro.com/#/privacypolicy,success
热力足球-Heat Football,体育运动,com.yumimobi.heatfootball.xm,https://heatfootball.com/privacyPolicy.html,success
天天趣走路,体育运动,good.fish.funwalkeverydaynext,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203084001,success
健康运动计步器,体育运动,com.yundong.jibuqid,https://www.zdwx.vip/yduserAgreement.html,success
乐心健康,体育运动,gz.lifesense.weidong,https://cdn.lifesense.com/common/#/privacyPolicy,success
Loop,体育运动,com.justjump.loop,https://s.loopsports.cn/privacy,success
功夫链,体育运动,com.fl.gfl,http://www.kungfuchain.com/agreement/gfl_privacy_agreement.html,success
EConnected,体育运动,com.tymate.domyos.connected,https://www.decathlon.com.cn/zh/about/privacy-policy/_/R-a-privacy-policy,success
Goal,体育运动,com.firewing.goalfitness,https://www.10town.com/privacy_policy.html,success
QueenRun,体育运动,com.whllzx.queue,https://app.queenrun.cn/privacy/,success
Flow Fit,体育运动,com.hwd.lifefit,http://8.210.150.172:8080/fit/protocolById?id=8,success
Olin Fit,体育运动,com.olinfit.honglinapp,https://api.hlcrazy.com/api/comm/privacy,success
疯狂看球,体育运动,com.halo.fkkq,http://cms.halomobi.com/api/siteapi/page?key=fkkq-yszc,success
时分计步,体育运动,com.xmbranch.shifen,https://commerce.ibestfanli.com/scenead-frontend/qa/policy?prdid=150135,success
运动高手秀,体育运动,org.qingzhou.cn.sportshow,https://sportpro.net.cn/static/privacy.htm,success
Hard,体育运动,com.walnutin.hardsport,http://hard.walnutin.com:8090/hard/about/yszccn.html,success
功夫者,体育运动,gfz.kf.com.kungfuzhe,http://www.gongfuzhe.com/agreement/privacyagreement/,success
JClife,体育运动,com.jstyle.jclife,https://h5.le-young.com/medical/JCLife_privacy_policy_zh,success
光合熊猫,体育运动,com.shesports.app,http://www.soullife.com.cn/agreements/privacy.html,success
广场舞多多,体育运动,com.duoduo.oldboy,https://main.gcwduoduo.com/bama/private_policy/gcw_hw.html,success
指寻机构端,体育运动,com.zhixun.orienteer_trainer,https://infomation.funfindsport.com/protocol/inst-privacy.html,success
指寻,体育运动,com.zhixun.orienteer_app,https://infomation.funfindsport.com/protocol/privacy.html,success
悦动圈,体育运动,com.yuedong.sport,https://d.51yund.com/yd_privacy.html,success
数字心动,体育运动,com.chinaath.szxd,https://race.shuzixindong.com/#/privacyPolicy,success
FansMall,体育运动,fansmall.app,https://interface.shfansmall.com/agreement/privacy,success
律动健康,体育运动,com.ld.spriteld,http://health.lvd.fit/privacyPolicy,success
海健身,体育运动,com.lc.fitnesscircle,https://fitness.lctygj.com/page/privacy_policy,success
云犀,体育运动,com.yx.yunxhs,https://www.yunx.tech/operate-h5/#/policy,success
UOIN,体育运动,com.irskj.aiyou,https://ayfile.aiyoukit.com/files/android/privacy_policy.html,success
爱动骑行世界,体育运动,com.aidong.addc,http://coach.aidong.me/privacy/privacy.html,success
千步有宝,体育运动,com.kiigames.qianbuyoubao2.qbyb2,http://home.zoulubao.com/col.jsp?id=187,success
木卫六,体育运动,com.movevi.android.app,http://wap.movevi.com/html/privacy.html,success
双动,体育运动,com.toodo.toodo,https://toodo.com.cn/toodoweb/policy/,success
铁马高尔夫,体育运动,com.tiemagolf,https://m-vue.tmgolf.cn/staticPage/privacy?from=minapp,success
雷趣体育APP,体育运动,com.leiqu.app,https://www.leiqu.com/pc/privacy/,success
行动榜,体育运动,com.badgerxdb,https://www.myxdb.com/share/privacy.html,success
BodyToBe,体育运动,com.cinkate.bodytobe,http://www.lifeclock.cn//Privacyrights/index,success
Wake瑜伽,体育运动,com.wakeyoga.wakeyoga,http://h5.wakeyoga.com/wake_html/privacyAgr.html,success
律跑,体育运动,com.fitnessharbor.v2,https://lvpao.jianrenmatou.com/static/front/DKGZLVPAOYSXY.html,success
趣球圈,体育运动,com.weiqiuxm,http://api.yililive.com/h5_v6/pages/agreement/privacy,success
人人体育,体育运动,com.renrenyundongxm,http://www.yszcdz.com:8090/docs/renrentiyuys.html,success
CO-FIT,体育运动,com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT,success
滑板圈,体育运动,com.yumfee.skate,http://www.jixianxueyuan.com/UseProtocol.html,success
运动追踪,体育运动,com.anguomob.sport.track,https://doc.anguomob.com/web/#/8?page_id=268,success
