ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
安驾记录仪,旅行交通,com.weixikeji.drivingrecorder,http://c.wotoken.com/common/protocol/driving_recorder_policy.html,success
平行之家商家版,旅行交通,cn.mucang.android.parallelvehicle.manager,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=31,success
广阳岛,旅行交通,com.cq1080.app.gyd,https://visit-mini.zggyd.com/pagess/policy_page,success
中港智运货主,旅行交通,com.enation.b2b2c.RNconsignor,https://baiyun.obs.cn-north-4.myhuaweicloud.com/agreement/privacy.html,success
大大汽修,旅行交通,com.bakheet.garage,https://qixiuh5.dada365.com/static/app_grand_ceremony/privacy-policy.html,success
智慧导览,旅行交通,com.mhbtbj.beeguide,https://www.wisdomguide.cn/wisdomguidev2/login/agreement.html,success
小票票商家版,旅行交通,com.xiaopiaopiao.pos,https://m.huanghepiao.com/e/PosApp/ysxy.html,success
房车潮惠玩,旅行交通,com.upyuns.chwapp,https://chwplatform.upyuns.com/h5/view/notice.html?type=19,success
中港智运车主,旅行交通,com.enation.b2b2c.RNcarowner,http://shipper.zhonggang365.com/zgzy_che_PrivacyPolicy.html,success
卡友云,旅行交通,uni.UNI9043B71,https://kayouyun.com/yinsi.html,success
托迈酷客,旅行交通,com.mirum.fx,https://hotels.folidaymall.com/static/privacy.html,success
乐天堂客户端-游记,旅行交通,com.letiantang.baogalaxy,https://note.youdao.com/s/NhViclE,success
6帧探,旅行交通,com.vidure.app,https://www.6zhentan.com/app/treadty_zh_CN.html,success
通行宝,旅行交通,com.cmb.transpal,https://yljapp.jstxb.com/appH5/information/index.html#/privacyNotice,success
哈友安全辅助驾驶,旅行交通,com.hayoou.adas,http://v.hayoou.com/safedriving/privacypolicy.php,success
阿那亚,旅行交通,com.aranyaapp,https://h5.aranya.cc/txPrivacy/,success
零跑,旅行交通,com.dahua.leapmotor,https://apptec.leapmotor.com/privacyAgreement.html,success
骑幻出行,旅行交通,com.ridemagic.trip,http://batteryapi.zubattery.com:8081/privacyagreement.html,success
空港嘉华,旅行交通,com.yjtravel,https://app.yjtravel.com/index.html#/terms?id=2,success
