ApplicationName,Category,DetailPage,PrivacyPolicyLink
Beespeed,体育运动,/details?id=com.bozlun.bee.speed,http://privacy.berace.com.cn/privacy_ch.html
嗨动AI,体育运动,/details?id=com.hidoba.aisport,https://ai-h5.hidbb.com/privacyPolicy
RQ,体育运动,/details?id=cn.runningquotient.rq,https://www.runningquotient.cn/site/license
多锐,体育运动,/details?id=com.hnjc.dl,https://www.12sporting.com/appcms/xieyi/1400.html
超级计步宝,体育运动,/details?id=com.kiigames.superjibubao.sjbb,https://home.haokeapp.com/col.jsp?id=169
雷速体育,体育运动,/details?id=com.leisu.sports,https://h5.leisu.com/static/privacy.html
行者,体育运动,/details?id=im.xingzhe,http://www.imxingzhe.com/document/485
训记,体育运动,/details?id=com.trainnote.rn,https://xunji.implements.io/xunji_android_policy
引体向上,体育运动,/details?id=com.tanma.sportsguide,https://waph5.scleader.cn/page/myInfo/agreement/index.html?type=2
小小运动家,体育运动,/details?id=com.magic.ball.sport,https://moqiu.tech/mq_privacy_protocol.html
天天走财运,体育运动,/details?id=com.ttzcy.caiyun,http://share.norlinked.com/terms/tiantianzoucaiyun/privacypolicy.html 
虎虎计步,体育运动,/details?id=banana.tiger.tigerstepssecond,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=203091001
朝夕运动,体育运动,/details?id=com.czh.sport,http://www.chuangzhihe.com/yduserAgreement.html
WeGym,体育运动,/details?id=osl.wegym.app,http://www.wegymtraining.com/App/Wegym/PrivacyPolicy.html
雪缘园足球,体育运动,/details?id=com.gooooal.app.events,http://pic.gooooal.com/app/privacy.html
CO-FIT,体育运动,/details?id=com.sma.smartv3.co_fit,https://api.iot-solution.net/web/help/webs/privacy.html?app=CO-FIT
正洲微马,体育运动,/details?id=com.zhengzhou.sport,https://zzsportpub.szhhxh.com:4433/privacy
欢乐计步宝,体育运动,/details?id=a.com.happy.step,http://cdn.feigedj.cn/walk/h5/user_privacy_17.html
精球体育-即时比分与进球短视频,体育运动,/details?id=cn.belltrip.sport_app,https://www.jingqiutiyu.cn/privacy.html
