ApplicationName,Category,DetailPage,PrivacyPolicyLink
医动力医生版,医疗健康,/details?id=com.gyenno.zero.doctor,https://agreement.gyenno.com/doctor/agreement-privacy.html
开欣医生,医疗健康,/details?id=com.happydoctor,https://hsjayy.cnhis.com/crm/h5/#/business-agreement?title=开欣医生隐私保护政策&type=happyDoctorPrivacy
整形报价器--覆盖全国整形医院,医疗健康,/details?id=com.meb.zxbj,https://diy.meb.com/dsp/#/user/privacy/v2
博恩云,医疗健康,/details?id=com.bondentcloud.train,https://h5.bondentcloud.cn/document/privacy
禾大夫,医疗健康,/details?id=com.zhenhe.hedaifu,https://web.app.hdfapp.zhenheyiguan.com/app/privacy_policy.html
智健康,医疗健康,/details?id=com.lgcns.smarthealth,https://app-h5.ismarthealth.com/agreementService.html
OKOK,医疗健康,/details?id=com.chipsea.btcontrol,http://www.tookok.cn/license/ok/agreement.html
呼噜猫舍-白噪音助眠与解压,医疗健康,/details?id=com.zuoyou.sleep,https://www.lrgarden.cn/snoring_pp.html
粒健康-健康指导减肥健身,医疗健康,/details?id=com.biovascula.vmi.app,http://app.biovascula.cn/hundred/pages/agreement.html
听博士-助听器验配听力测试咨询,医疗健康,/details?id=com.hysound.hearing,https://www.drhearing.vip/smallArticledetail2.htm?wzid=6
医路护卫,医疗健康,/details?id=cn.jiluai.xnws,http://palm.cdhg123.club/portal/index/privacy.html
携手医访医生端,医疗健康,/details?id=com.xieshou.healthyDerDoctor,https://h5.dermatology.xieshou.org/Download/serviceAgreement.html
华西妇幼,医疗健康,/details?id=com.wcsuh_scu.hxhapp,http://hxfy.schxfy.com:8686/policy.html
妙手医生版,医疗健康,/details?id=com.yuanxin.perfectdoctor,http://ucenter.miaoshou.com/public/privacy-agreement
壹点灵医生,医疗健康,/details?id=com.yidianling.medical.expert,https://h2.yidianling.com/help/401
就医理赔管家,医疗健康,/details?id=com.pajk.ehiscrowdPackage,https://ehis-audit-ivs-dmz.health.pingan.com/ehis-audit-ivs-web/main/privacypolicy.html
小豆苗,医疗健康,/details?id=com.threegene.yeemiao,https://dm.yeemiao.com/agreement/User_Privacy_Policy_V2_0.html?r=0.104691
NOW健康,医疗健康,/details?id=com.healthcloudapp,https://live.17wo.cn/#/digitalLife/privacy
金牌护士,医疗健康,/details?id=com.bjut.cyl.findnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html
金牌护士护士端,医疗健康,/details?id=com.gold.nurse.goldnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html
吴试纸,医疗健康,/details?id=com.uulife.medical.doctor,http://www.niaodaifu.cn/wushizhi/privacy.html
SleepMapper,医疗健康,/details?id=com.philips.src.hss,https://www.philips.com.cn/a-w/mobile-privacy-notice/be_ps_combined-app.html
慧孕育,医疗健康,/details?id=com.yunkanghuigu.wisebreeding,http://47.111.248.74:8083/AppAgreem/IndexV2?type=9
柠檬喝水,医疗健康,/details?id=com.lemonpiggy.drinkwater,https://drink.lemonpiggy.com/drinkwater/privacy-policy.html
浙江预约挂号,医疗健康,/details?id=com.zjrc.yygh,https://zjjk.zj12580.cn/universal/privacy_rule/V7.6.22/index.html
往约,医疗健康,/details?id=com.st.QSB,https://wyh5.wangyuedaojia.com/rule/yinsiwendang.html
飞礼,医疗健康,/details?id=uni.UNI7903210999,https://epk-h5.bc2c.cn/#/pages/common/protocol
Nutridays,医疗健康,/details?id=com.icomon.nutridays,https://online.fitdays.cn/app/privacy?language=zh_hans&source=4
姿美健康,医疗健康,/details?id=com.simeitol.slimming,http://jk-h5-m.simeitol.com/pages/public/privacy-health/privacy-health?myjk-version=1.1.0.0&isApp=1
全优医术,医疗健康,/details?id=cn.kanglin.puwaike,https://talent.angsechina.com//portal//index//privacy.html
医动力医生版,医疗健康,/details?id=com.gyenno.zero.doctor,https://agreement.gyenno.com/doctor/agreement-privacy.html
开欣医生,医疗健康,/details?id=com.happydoctor,https://hsjayy.cnhis.com/crm/h5/#/business-agreement?title=开欣医生隐私保护政策&type=happyDoctorPrivacy
整形报价器--覆盖全国整形医院,医疗健康,/details?id=com.meb.zxbj,https://diy.meb.com/dsp/#/user/privacy/v2
博恩云,医疗健康,/details?id=com.bondentcloud.train,https://h5.bondentcloud.cn/document/privacy
禾大夫,医疗健康,/details?id=com.zhenhe.hedaifu,https://web.app.hdfapp.zhenheyiguan.com/app/privacy_policy.html
智健康,医疗健康,/details?id=com.lgcns.smarthealth,https://app-h5.ismarthealth.com/agreementService.html
OKOK,医疗健康,/details?id=com.chipsea.btcontrol,http://www.tookok.cn/license/ok/agreement.html
呼噜猫舍-白噪音助眠与解压,医疗健康,/details?id=com.zuoyou.sleep,https://www.lrgarden.cn/snoring_pp.html
粒健康-健康指导减肥健身,医疗健康,/details?id=com.biovascula.vmi.app,http://app.biovascula.cn/hundred/pages/agreement.html
听博士-助听器验配听力测试咨询,医疗健康,/details?id=com.hysound.hearing,https://www.drhearing.vip/smallArticledetail2.htm?wzid=6
医路护卫,医疗健康,/details?id=cn.jiluai.xnws,http://palm.cdhg123.club/portal/index/privacy.html
携手医访医生端,医疗健康,/details?id=com.xieshou.healthyDerDoctor,https://h5.dermatology.xieshou.org/Download/serviceAgreement.html
华西妇幼,医疗健康,/details?id=com.wcsuh_scu.hxhapp,http://hxfy.schxfy.com:8686/policy.html
妙手医生版,医疗健康,/details?id=com.yuanxin.perfectdoctor,http://ucenter.miaoshou.com/public/privacy-agreement
壹点灵医生,医疗健康,/details?id=com.yidianling.medical.expert,https://h2.yidianling.com/help/401
就医理赔管家,医疗健康,/details?id=com.pajk.ehiscrowdPackage,https://ehis-audit-ivs-dmz.health.pingan.com/ehis-audit-ivs-web/main/privacypolicy.html
小豆苗,医疗健康,/details?id=com.threegene.yeemiao,https://dm.yeemiao.com/agreement/User_Privacy_Policy_V2_0.html?r=0.104691
NOW健康,医疗健康,/details?id=com.healthcloudapp,https://live.17wo.cn/#/digitalLife/privacy
金牌护士,医疗健康,/details?id=com.bjut.cyl.findnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html
金牌护士护士端,医疗健康,/details?id=com.gold.nurse.goldnurse,https://resource.goldnurse.com/commons/protocol/0d9752dee6974a13b0f1295065ea6988/2021060218294182440.html
吴试纸,医疗健康,/details?id=com.uulife.medical.doctor,http://www.niaodaifu.cn/wushizhi/privacy.html
SleepMapper,医疗健康,/details?id=com.philips.src.hss,https://www.philips.com.cn/a-w/mobile-privacy-notice/be_ps_combined-app.html
慧孕育,医疗健康,/details?id=com.yunkanghuigu.wisebreeding,http://47.111.248.74:8083/AppAgreem/IndexV2?type=9
柠檬喝水,医疗健康,/details?id=com.lemonpiggy.drinkwater,https://drink.lemonpiggy.com/drinkwater/privacy-policy.html
浙江预约挂号,医疗健康,/details?id=com.zjrc.yygh,https://zjjk.zj12580.cn/universal/privacy_rule/V7.6.22/index.html
往约,医疗健康,/details?id=com.st.QSB,https://wyh5.wangyuedaojia.com/rule/yinsiwendang.html
飞礼,医疗健康,/details?id=uni.UNI7903210999,https://epk-h5.bc2c.cn/#/pages/common/protocol
Nutridays,医疗健康,/details?id=com.icomon.nutridays,https://online.fitdays.cn/app/privacy?language=zh_hans&source=4
姿美健康,医疗健康,/details?id=com.simeitol.slimming,http://jk-h5-m.simeitol.com/pages/public/privacy-health/privacy-health?myjk-version=1.1.0.0&isApp=1
全优医术,医疗健康,/details?id=cn.kanglin.puwaike,https://talent.angsechina.com//portal//index//privacy.html
掬掬猪,医疗健康,/details?id=com.yzld.jjz,http://www.365meilemei.com/im/index/ceshi2?id=7
好享瘦,医疗健康,/details?id=com.kufeng.hj.enjoy,https://act.hxsapp.com/base/Award/rule/yinsizhengce
