ApplicationName,Category,DetailPage,PrivacyPolicyLink
快读笔趣阁免费小说,图书阅读,/details?id=com.dawenming.kbreader,https://www.suiwenyuedu.com/app/policy.html
懒人听书,图书阅读,/details?id=bubei.tingshu,https://m.lrts.me/h5/help/privacy_android
中国航天期刊平台,图书阅读,/details?id=com.wf.yuhang,http://www.zghtqk.com/SKY/js/phone/privacy.html
华为阅读,图书阅读,/details?id=com.huawei.hwireader,https://consumer.huawei.com/minisite/cloudservice/huaweireader/privacy-statement.htm?code=CN&language=zh_Hans_CN
全民小说-免费版,图书阅读,/details?id=com.duokan.free,https://www.duokan.com/c/free/privacy_v2
IT之家,图书阅读,/details?id=com.ruanmei.ithome,https://dat.ruanmei.com/ithome/privacy/privacy.html
新周刊-资讯阅读,图书阅读,/details?id=com.newsweekly.livepi,https://app.neweekly.com.cn/webm/app/privacy
请看书,图书阅读,/details?id=com.qingkanshu.qks,https://api.qingkanshu.cn/website/policy.html?b=YXBwaWQ9ODEmYXBwbmFtZT3or7fnnIvkuaY=
狗狗读书,图书阅读,/details?id=com.gougoudushu.ggdsreader,http://page.ynuotech.com/site/privacy-policy?id=1
书巢小说,图书阅读,/details?id=com.shuchao.scapc,https://api.shuchaoapp.cn/website/policy.html?b=YXBwaWQ9NzcmYXBwbmFtZT3kuablt6LlsI/or7Q=
文心,图书阅读,/details?id=com.wenxin.bitlingqi,http://wenxinapp.com/user/privacy
小书狐-免费小说电子书阅读神器,图书阅读,/details?id=com.read.xsh,https://xst.xstread.com/appPage/privacyPolicyAD?channel=mqx_7201
书路阅读,图书阅读,/details?id=com.shulu.read,https://file-1302489287.cos.ap-beijing.myqcloud.com/website/shulu_privacy_agreement.html
酷匠阅读,图书阅读,/details?id=com.dpx.kujiang,https://m.kujiang.com/book/private
浩量悦读,图书阅读,/details?id=com.haoliang.booknovel,https://api.zhongyue001.com/note/privacy?package=hl
飒漫画,图书阅读,/details?id=com.comic.isaman,https://m.samh.xndm.tech/samh_static/privacy/index.html
小说仓库,图书阅读,/details?id=com.story.housezx,https://short.ss.bscstorage.com/private/1a043f8bab7f.html
点众快看小说,图书阅读,/details?id=com.ishugui,https://privacy.wcread.cn/agreement/index.html?pname=com.ishugui
