ApplicationName,Category,DetailPage,PrivacyPolicyLink
每日占卜,娱乐消遣,/details?id=com.zsxf.feelingtestmaster,http://47.90.28.148:8090/app/kjszzsxf/yszc.html
致力起名取名软件,娱乐消遣,/details?id=com.kejiqiming.shuimobaobo,http://www.labczk.com/dsqm-agreement.html
掌上荣耀,娱乐消遣,/details?id=com.zsry.zsry,http://egg-machine.telecomsevice.com/app/protocol/zhangshangrongyao/protocol.html?privacy=1
萌我变声器,娱乐消遣,/details?id=com.tian.voicechangerpro,https://voice.i7play.com/xieyi-pri.html
千游,娱乐消遣,/details?id=com.example.xiaobing.qianyou,https://m.xbyx77.com/nqy_privacy
扎堆儿,娱乐消遣,/details?id=com.zd.zhaduier,https://zhadui.jujuba2021.com/index.php/index/zc.html
社恐快跑,娱乐消遣,/details?id=com.soical.yaoyao,http://ossfile.pangbaoapp.com/a29cb046-e5fd-4869-b50d-381e470b027c_f_1179052776.html
小决定-大转盘万能钥匙,娱乐消遣,/details?id=com.mygc.xjdxxp,https://www.tiantianyouhuiquan.com/html/yszc/xjd/yszc.html
739游戏,娱乐消遣,/details?id=xiaobingyouxi.bjkyzh.miguyouxixmxm,https://m.xbyx77.com/qsj_privacy
MBIT职业性格测试专家,娱乐消遣,/details?id=com.csd.mbtixinli.and,https://doc.360qnw.com/web/#/19
电话变声器,娱乐消遣,/details?id=cn.sqcat.voicechanger,http://www.weilaihongtech.cn/privacy-biansheng.htm
咪咕快游,娱乐消遣,/details?id=cn.emagsoftware.gamehall,https://passport.migu.cn/portal/privacy/appprotocol?sourceid=206026
娃娃多,娱乐消遣,/details?id=com.telecomsevice.wawaduo,https://egg-machine.telecomsevice.com/app/protocol/wawaduo/protocol.html?privacy=1
我的自传,娱乐消遣,/details?id=com.zzkj.zpzz,https://h5.zizhuankeji.com/html/privacyAgreement.html
角色对话生成器,娱乐消遣,/details?id=com.jinshengyuan.chatlike,https://chatlike.jinshengyuan.co/source/plugin/jnpar_discuzapi/appneed/privacy.html
暴走P图,娱乐消遣,/details?id=a.baozouptu,https://blog.csdn.net/hn_lgc/article/details/100146856
宝宝起名好运,娱乐消遣,/details?id=com.aokj.bbqmb,http://aokj.top/user/privacy
橡子星座,娱乐消遣,/details?id=com.xiaodao.aboutstar,http://astro.smallsword.cn/www/apps/agreement/privacy_xinzuo_android.html
爱吾宝盒,娱乐消遣,/details?id=com.magic.mcsxl,https://short.ss.bscstorage.com/private/d9cfba42a525.html
无忧心理测试,娱乐消遣,/details?id=com.csd.wuyouxinli.and,https://doc.360qnw.com/web/#/28
起名取名大师,娱乐消遣,/details?id=com.qicode.namechild,https://www.artsignpro.com/web/policy/?download=false&header_footer=false
酷签签名设计,娱乐消遣,/details?id=com.qimacode.signmaster,https://www.artsignpro.com/web/policy/?download=false&header_footer=false
火电屏幕触激,娱乐消遣,/details?id=com.mandg.funny.firescreen,https://www.mandgtech.cn/firescreen_privacy_cn/
趣味萌宠,娱乐消遣,/details?id=life.desktop.pet,http://cdn.file.yongxinshuo.com/94d6083f-acdf-4e69-854d-833eb10b4a46_f_xiaomi.html
特牛变声器-百变趣味语音包,娱乐消遣,/details?id=com.befun.tnchangesound,https://befun-h5.2019bf.top/singleAgreement/inflexion/privacy_policy.html
糗事百科,娱乐消遣,/details?id=qsbk.app,http://about.qiushibaike.com/law/privacy.html
舞立方,娱乐消遣,/details?id=com.shenghuayule.dcbase,https://dancewebdemo.shenghuayule.com/dance/#/pages/privacy
租号玩专业版,娱乐消遣,/details?id=com.dofun.zhw.pro,http://www.zuhaowan.com/Appv2/help/privacy
中华少年说,娱乐消遣,/details?id=com.zwznetwork.juvenilesays,https://zaowuapp.com/juvenilesays/userfiles/static-html/privacy_policy.html
我爱电玩,娱乐消遣,/details?id=com.wadwyxzy.app,https://egg-machine.telecomsevice.com/app/protocol/woaidianwan/protocol.html?privacy=1
每日占卜,娱乐消遣,/details?id=com.zsxf.feelingtestmaster,http://47.90.28.148:8090/app/kjszzsxf/yszc.html
致力起名取名软件,娱乐消遣,/details?id=com.kejiqiming.shuimobaobo,http://www.labczk.com/dsqm-agreement.html
掌上荣耀,娱乐消遣,/details?id=com.zsry.zsry,http://egg-machine.telecomsevice.com/app/protocol/zhangshangrongyao/protocol.html?privacy=1
萌我变声器,娱乐消遣,/details?id=com.tian.voicechangerpro,https://voice.i7play.com/xieyi-pri.html
千游,娱乐消遣,/details?id=com.example.xiaobing.qianyou,https://m.xbyx77.com/nqy_privacy
扎堆儿,娱乐消遣,/details?id=com.zd.zhaduier,https://zhadui.jujuba2021.com/index.php/index/zc.html
社恐快跑,娱乐消遣,/details?id=com.soical.yaoyao,http://ossfile.pangbaoapp.com/a29cb046-e5fd-4869-b50d-381e470b027c_f_1179052776.html
小决定-大转盘万能钥匙,娱乐消遣,/details?id=com.mygc.xjdxxp,https://www.tiantianyouhuiquan.com/html/yszc/xjd/yszc.html
739游戏,娱乐消遣,/details?id=xiaobingyouxi.bjkyzh.miguyouxixmxm,https://m.xbyx77.com/qsj_privacy
MBIT职业性格测试专家,娱乐消遣,/details?id=com.csd.mbtixinli.and,https://doc.360qnw.com/web/#/19
电话变声器,娱乐消遣,/details?id=cn.sqcat.voicechanger,http://www.weilaihongtech.cn/privacy-biansheng.htm
咪咕快游,娱乐消遣,/details?id=cn.emagsoftware.gamehall,https://passport.migu.cn/portal/privacy/appprotocol?sourceid=206026
娃娃多,娱乐消遣,/details?id=com.telecomsevice.wawaduo,https://egg-machine.telecomsevice.com/app/protocol/wawaduo/protocol.html?privacy=1
我的自传,娱乐消遣,/details?id=com.zzkj.zpzz,https://h5.zizhuankeji.com/html/privacyAgreement.html
角色对话生成器,娱乐消遣,/details?id=com.jinshengyuan.chatlike,https://chatlike.jinshengyuan.co/source/plugin/jnpar_discuzapi/appneed/privacy.html
暴走P图,娱乐消遣,/details?id=a.baozouptu,https://blog.csdn.net/hn_lgc/article/details/100146856
宝宝起名好运,娱乐消遣,/details?id=com.aokj.bbqmb,http://aokj.top/user/privacy
橡子星座,娱乐消遣,/details?id=com.xiaodao.aboutstar,http://astro.smallsword.cn/www/apps/agreement/privacy_xinzuo_android.html
爱吾宝盒,娱乐消遣,/details?id=com.magic.mcsxl,https://short.ss.bscstorage.com/private/d9cfba42a525.html
无忧心理测试,娱乐消遣,/details?id=com.csd.wuyouxinli.and,https://doc.360qnw.com/web/#/28
起名取名大师,娱乐消遣,/details?id=com.qicode.namechild,https://www.artsignpro.com/web/policy/?download=false&header_footer=false
酷签签名设计,娱乐消遣,/details?id=com.qimacode.signmaster,https://www.artsignpro.com/web/policy/?download=false&header_footer=false
火电屏幕触激,娱乐消遣,/details?id=com.mandg.funny.firescreen,https://www.mandgtech.cn/firescreen_privacy_cn/
趣味萌宠,娱乐消遣,/details?id=life.desktop.pet,http://cdn.file.yongxinshuo.com/94d6083f-acdf-4e69-854d-833eb10b4a46_f_xiaomi.html
特牛变声器-百变趣味语音包,娱乐消遣,/details?id=com.befun.tnchangesound,https://befun-h5.2019bf.top/singleAgreement/inflexion/privacy_policy.html
糗事百科,娱乐消遣,/details?id=qsbk.app,http://about.qiushibaike.com/law/privacy.html
舞立方,娱乐消遣,/details?id=com.shenghuayule.dcbase,https://dancewebdemo.shenghuayule.com/dance/#/pages/privacy
租号玩专业版,娱乐消遣,/details?id=com.dofun.zhw.pro,http://www.zuhaowan.com/Appv2/help/privacy
中华少年说,娱乐消遣,/details?id=com.zwznetwork.juvenilesays,https://zaowuapp.com/juvenilesays/userfiles/static-html/privacy_policy.html
我爱电玩,娱乐消遣,/details?id=com.wadwyxzy.app,https://egg-machine.telecomsevice.com/app/protocol/woaidianwan/protocol.html?privacy=1
