ApplicationName,Category,DetailPage,PrivacyPolicyLink
一米阅读,学习教育,/details?id=com.student.yuwen.yimilan,http://wx.yimiyuedu.cn/mobile/webView/app/protocol/private
智禾考哪儿,学习教育,/details?id=com.example.gaokao_app,https://www.zytb.top/NEMT/gk/privacy_policy.html
传而习家长,学习教育,/details?id=com.ecaiedu.guardian,https://file.ecaiedu.com/agreement/user-privacy.html
觉晓法考,学习教育,/details?id=com.juexiao.fakao,https://img.juexiaotime.com/app/privacy.html
奶酪单词,学习教育,/details?id=com.jdjdc.jdfastjdc,https://rwstatic.tentons.cn/package/ndyszc.html
橙啦,学习教育,/details?id=com.xcgl.chengla,https://u.orangevip.com/h5/yinsagreement
消防工程师亿题库,学习教育,/details?id=com.billionquestionbank_fire,http://ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=1&appname=%25E6%25B3%25A8%25E5%2586%258C%25E6%25B6%2588%25E9%2598%25B2%25E5%25B7%25A5%25E7%25A8%258B%25E5%25B8%2588%25E4%25BA%25BF%25E9%25A2%2598%25E5%25BA%2593http://ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=1&appname=%25E6%25B3%25A8%25E5%2586%258C%25E6%25B6%2588%25E9%2598%25B2%25E5%25B7%25A5%25E7%25A8%258B%25E5%25B8%2588%25E4%25BA%25BF%25E9%25A2%2598%25E5%25BA%2593
班组汇,学习教育,/details?id=cn.com.mc89,http://api.89mc.com/api.php?m=h5&contentType=3
宝宝巴士故事,学习教育,/details?id=com.sinyee.babybus.story,https://udb.babybus.com/AccountH5/ProductPrivacy?ProductID=3302&VerID=999999999&PlatForm=11&cHCode=A004
学习云应用软件,学习教育,/details?id=com.ms.learningcloud,https://lc-h5-appfeedback.vdyoo.com/h5/help/privacy
今川日语,学习教育,/details?id=com.example.yuanren123.learnjanpanese,https://www.vvxue.com/service/jcryyszc?type=3
雷哥单词,学习教育,/details?id=thinku.com.word,https://www.viplgw.cn/cn/index/privacy
米芽,学习教育,/details?id=com.baijiayu.practice,https://www.bjy1314.com/h5/yinsi.html
百草园,学习教育,/details?id=com.wbb.broadcast,https://alpc.gsbaicaoyuan.com/intimacy/index.html
驾考学习大全-驾考,学习教育,/details?id=com.vaqe.esbt.tvr,https://h5.8fenyi.cn/privacy/index-cn.html?appId=1384335348865597441
论文降重,学习教育,/details?id=com.bjzhifeng.jc,https://api.paper.bjzhifeng.com/pages/privacy/ppreduce
励超学堂,学习教育,/details?id=com.lichao.lczx,https://wap.lichaojiaoyu.cn/agreement/98
万银云学院,学习教育,/details?id=com.zywl.wyxy,https://wy.wyqcjt.com/ptpage.html
元世界学堂,学习教育,/details?id=com.metaworld001.edu,https://xuetang.metaworld001.cn/capi/yinsi
临研阁,学习教育,/details?id=com.train.lyg,https://lyg.cdwccr.com/ysxy.html
翻译大师,学习教育,/details?id=cn.njchulitech.translator,http://www.njchulitech.cn/privacy-fanyi.html
宝宝巴士儿歌,学习教育,/details?id=com.sinyee.babybus.chants,https://udb.babybus.com/AccountH5/ProductPrivacy?ProductID=3168&VerID=1000000&PlatForm=11
CoStudy,学习教育,/details?id=com.costudy.costudy,http://www.co-study.com.cn/costudy_privacy.htm
每天练书法,学习教育,/details?id=com.hzgxr.esx,https://wx.shufa365.net:81/home/index/news.html
全球学术快报,学习教育,/details?id=com.cnki.android.cnkimobile,https://m.cnki.net/protocol/private_policy_cn.html
小舟同学教师端,学习教育,/details?id=com.rd.buildeducationxzteacher,https://pc.xiaozhoutongxue.cn/html/privacyPointForTeacher.html、https://pc.xiaozhoutongxue.cn/html/ServiceAgreementForTeacher.html
桃李钢琴,学习教育,/details?id=com.example.small3,https://wx.7lvpiano.com/secrecy
有道精品课-在线学习成长平台,学习教育,/details?id=com.youdao.course,http://corp.163.com/gb/legal.html
小舟同学,学习教育,/details?id=com.rd.buildeducationxz,https://pc.xiaozhoutongxue.cn/html/privacyPointForParent.html、https://pc.xiaozhoutongxue.cn/html/ServiceAgreementForParent.html
元贝驾考,学习教育,/details?id=com.yuanbei.driverlicence,https://jk.yuanbei.com/m/privacy
一米阅读,学习教育,/details?id=com.student.yuwen.yimilan,http://wx.yimiyuedu.cn/mobile/webView/app/protocol/private
智禾考哪儿,学习教育,/details?id=com.example.gaokao_app,https://www.zytb.top/NEMT/gk/privacy_policy.html
传而习家长,学习教育,/details?id=com.ecaiedu.guardian,https://file.ecaiedu.com/agreement/user-privacy.html
觉晓法考,学习教育,/details?id=com.juexiao.fakao,https://img.juexiaotime.com/app/privacy.html
奶酪单词,学习教育,/details?id=com.jdjdc.jdfastjdc,https://rwstatic.tentons.cn/package/ndyszc.html
橙啦,学习教育,/details?id=com.xcgl.chengla,https://u.orangevip.com/h5/yinsagreement
消防工程师亿题库,学习教育,/details?id=com.billionquestionbank_fire,http://ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=1&appname=%25E6%25B3%25A8%25E5%2586%258C%25E6%25B6%2588%25E9%2598%25B2%25E5%25B7%25A5%25E7%25A8%258B%25E5%25B8%2588%25E4%25BA%25BF%25E9%25A2%2598%25E5%25BA%2593http://ytkapi.cnbkw.com:8091/userInfo/getPrivacyAgreement?type=1&appname=%25E6%25B3%25A8%25E5%2586%258C%25E6%25B6%2588%25E9%2598%25B2%25E5%25B7%25A5%25E7%25A8%258B%25E5%25B8%2588%25E4%25BA%25BF%25E9%25A2%2598%25E5%25BA%2593
班组汇,学习教育,/details?id=cn.com.mc89,http://api.89mc.com/api.php?m=h5&contentType=3
宝宝巴士故事,学习教育,/details?id=com.sinyee.babybus.story,https://udb.babybus.com/AccountH5/ProductPrivacy?ProductID=3302&VerID=999999999&PlatForm=11&cHCode=A004
学习云应用软件,学习教育,/details?id=com.ms.learningcloud,https://lc-h5-appfeedback.vdyoo.com/h5/help/privacy
今川日语,学习教育,/details?id=com.example.yuanren123.learnjanpanese,https://www.vvxue.com/service/jcryyszc?type=3
雷哥单词,学习教育,/details?id=thinku.com.word,https://www.viplgw.cn/cn/index/privacy
米芽,学习教育,/details?id=com.baijiayu.practice,https://www.bjy1314.com/h5/yinsi.html
百草园,学习教育,/details?id=com.wbb.broadcast,https://alpc.gsbaicaoyuan.com/intimacy/index.html
驾考学习大全-驾考,学习教育,/details?id=com.vaqe.esbt.tvr,https://h5.8fenyi.cn/privacy/index-cn.html?appId=1384335348865597441
论文降重,学习教育,/details?id=com.bjzhifeng.jc,https://api.paper.bjzhifeng.com/pages/privacy/ppreduce
励超学堂,学习教育,/details?id=com.lichao.lczx,https://wap.lichaojiaoyu.cn/agreement/98
万银云学院,学习教育,/details?id=com.zywl.wyxy,https://wy.wyqcjt.com/ptpage.html
元世界学堂,学习教育,/details?id=com.metaworld001.edu,https://xuetang.metaworld001.cn/capi/yinsi
临研阁,学习教育,/details?id=com.train.lyg,https://lyg.cdwccr.com/ysxy.html
翻译大师,学习教育,/details?id=cn.njchulitech.translator,http://www.njchulitech.cn/privacy-fanyi.html
宝宝巴士儿歌,学习教育,/details?id=com.sinyee.babybus.chants,https://udb.babybus.com/AccountH5/ProductPrivacy?ProductID=3168&VerID=1000000&PlatForm=11
CoStudy,学习教育,/details?id=com.costudy.costudy,http://www.co-study.com.cn/costudy_privacy.htm
每天练书法,学习教育,/details?id=com.hzgxr.esx,https://wx.shufa365.net:81/home/index/news.html
全球学术快报,学习教育,/details?id=com.cnki.android.cnkimobile,https://m.cnki.net/protocol/private_policy_cn.html
小舟同学教师端,学习教育,/details?id=com.rd.buildeducationxzteacher,https://pc.xiaozhoutongxue.cn/html/privacyPointForTeacher.html、https://pc.xiaozhoutongxue.cn/html/ServiceAgreementForTeacher.html
桃李钢琴,学习教育,/details?id=com.example.small3,https://wx.7lvpiano.com/secrecy
有道精品课-在线学习成长平台,学习教育,/details?id=com.youdao.course,http://corp.163.com/gb/legal.html
小舟同学,学习教育,/details?id=com.rd.buildeducationxz,https://pc.xiaozhoutongxue.cn/html/privacyPointForParent.html、https://pc.xiaozhoutongxue.cn/html/ServiceAgreementForParent.html
元贝驾考,学习教育,/details?id=com.yuanbei.driverlicence,https://jk.yuanbei.com/m/privacy
千题库,学习教育,/details?id=com.ketang1.tiku.android.App,https://ketang1.com/privacy/
斑斑驾道定制版,学习教育,/details?id=com.ctl.student,https://app.chetailian.com/ui/h5/agreement/privacy
数学逻辑狂欢,学习教育,/details?id=com.epinye.crazymath,https://epinye.com/crazymath/describe/privacy
土豆雅思,学习教育,/details?id=com.edu.todo,https://static-image.todoen.com/image/jslib_base/html/privacy.html
驾校驾考科目一,学习教育,/details?id=com.xygy.cafuc,http://share.51studyc.cn/app/cafuc/yinsi.htm
碰词儿,学习教育,/details?id=com.hanlinyuan.vocabularygym,http://www.pengcieredu.com/privacy.html
驾校考试一点通,学习教育,/details?id=com.chenghui.jiaxiao.drive,http://www.chenghuigaoke.top/app/drive/yinsi.htm
驾考驾校通,学习教育,/details?id=com.chenghui.jiaxiao.campus,http://share.51studyc.cn/app/campus/yinsi.htm
迷你编程,学习教育,/details?id=com.minitech.miniaixue,https://www.miniaixue.com/privacy.html
艺考志愿宝,学习教育,/details?id=com.lpswish.app,https://app.lpswish.com/m/#/wish/appInfoAgree
法硕考研,学习教育,/details?id=com.ikaoshi.kaoyan.jurismaster,http://www.mikaoshi.cn/paper/index/page/category/3/classid/4004.html
成语拼拼拼,学习教育,/details?id=com.bruce.bestidiom,http://www.aimengtech.com/bestidiom/policy/privacy
LeetCode,学习教育,/details?id=com.lingkou.leetcode,https://leetcode-cn.com/document/app-privacy/
番鱼,学习教育,/details?id=org.fanyu.android,https://m.fanyustudy.com/index/Agreement/privacy
滑记-AI速记卡片|Anki易用版,学习教育,/details?id=ai.qianmo.huajiapp,https://m.huajiapp.com/static/privacy.html
提笔不忘字,学习教育,/details?id=com.bbtang.android.tbbwz,http://gameweb.xingxunkeji.cn/tibibuwangzi/privacy.html
库课教师,学习教育,/details?id=com.kuke.teacher,https://kuke-h5.kukejs.com/#/
好老师升学帮,学习教育,/details?id=com.hiteacher.online,https://www.hlsok.com/about/agreement/
乐芽儿陪练-教师端,学习教育,/details?id=com.feng.task.peilianteacher,http://pltea.yueyaerpeilian.com/AppnServ/Page/UserCenter/Yszc/Default.aspx
日语GO,学习教育,/details?id=com.china.japens,http://api.juquedu.com/h5/privacypolicy
继续教育,学习教育,/details?id=com.bjtongan.anjia365.jxjy,http://www.bjtongan.com/app/ysxy/
之了会计课堂,学习教育,/details?id=com.zhiliaogroup.kuaiji,https://www.zlketang.com/ac/kj_zlketang_policy
666书友会,学习教育,/details?id=com.tchy.sixbookclub,http://app.666syh.com/static/privacy_policy.html
新教育教师端,学习教育,/details?id=com.jkrm.education.teacher,https://m.xinjiaoyu.com/audio/#/privacyPolicy
简单课堂lite,学习教育,/details?id=com.jiandan.easyexproom,http://cms.jd100.com/article/detail?article_id=657
众合在线,学习教育,/details?id=com.zhongheschool.online,https://osscdn.zhongheschool.com/privacyProtocol/userPrivacyProtocol.html?env=school
葱米园长版,学习教育,/details?id=com.drh.director,http://www.congmiqq.com/read/index_one.html
葱米教师版,学习教育,/details?id=com.drh.teacher,http://www.congmiqq.com/read/index_one.html
葱米家长版,学习教育,/details?id=com.drh.mybaby,http://www.congmiqq.com/read/index_one.html
驾考帮,学习教育,/details?id=com.jiakaobang,https://h5.jiakaobang.com/#/pages/index/articleDetails?name=%E9%9A%90%E7%A7%81%E6%94%BF%E7%AD%96&id=918246e5725a4139bf6084753c4dafdd
