ApplicationName,Category,DetailPage,PrivacyPolicyLink
城市通,居家生活,/details?id=com.www.ccoocity.ui,http://www.ccoo.cn/bqys.html
巴乐兔租房,居家生活,/details?id=com.haimai.baletu,https://m.baletu.com/activity/privacypolicy
高明论坛,居家生活,/details?id=com.appbyme.app107059,https://share.fs2000.cn/wap/download/private
麦滴管家Pro,居家生活,/details?id=com.fh.gj,https://static.mdguanjia.com/mdlegal/privacy.html
吉时装师傅版,居家生活,/details?id=uni.UNI86A95C0,https://www.jishizhuanghz.com/about/agreement/yinsi.html
雅观智能,居家生活,/details?id=ai.argrace.oem,http://open.akeeta.tech/public/law_policy.html
玩转天全,居家生活,/details?id=com.wztq.wanzhuantianquan,http://www.21chance.com/wweb_8/privacy.html?accid=1203
珍茗好生活,居家生活,/details?id=com.gemmy.kinbos.app.client,https://weixin.gemmy.com.cn/wx/helppage/UserPrivacyclause.html
平安好车主,居家生活,/details?id=com.pingan.carowner,https://hcz-static.pingan.com.cn/fin-common/umc-uni-protocol/protocol.html#/privacy
360智慧生活,居家生活,/details?id=com.qihoo.smart,https://home.360.cn/app/privacy_agreement_zh_cn.html
飞利浦水健康,居家生活,/details?id=com.mxchip.philips,https://iot.deerma.com/html/2022_3_29_privacy_policy.html
天气物语,居家生活,/details?id=com.xijia.wy.weather,http://3ktq.com/tqwy/tqwy_privacy_policy.html
美凯龙爱家-买房租房家具装修,居家生活,/details?id=com.mkl.mkllovehome,https://app.mklij.com/pagesBase/privacyAgreement/index
打扮家服务者,居家生活,/details?id=com.dabanjia.rikistaff,https://jia.dabanjia.com/static/user-registration-agreement/index.html
易微联,居家生活,/details?id=com.coolkit,https://appcms.coolkit.cn/ewelink/privacy-ewelink/9842.html
郑生活-郑州人的生活圈,居家生活,/details?id=com.yuxingqiu.app,http://app.zhenglife.com/mag/user/v1/user/privacy?&themecolor=1693d7&a=1223
天天吉历-万年历日历黄历天气,居家生活,/details?id=com.calendar2345,http://www.77tianqi.com/h5/privacyPolicy.html
能量闹钟-冥想计时,居家生活,/details?id=com.bozhong.energy,https://www.bozhong.com/event/privacy.html?type=energyalarm
交管12128查违章,居家生活,/details?id=com.sqcat.wzquery,http://www.sqcat.cn/39f2d64d-74d9-47ce-97b5-5ad5dad09e46.html
打扮家,居家生活,/details?id=com.dabanjia.rikiuser,https://jia.dabanjia.com/static/user-registration-agreement/index.html
滔滔房产视频,居家生活,/details?id=com.moxi.taotaovideo,https://www.taotaovideo.cn/legal/privacy-agreement.html
宅家装,居家生活,/details?id=uni.UNIC76DD0F,https://zjzadmin.zhaoshangbao.com/assets/Privacy.html
星空睡眠,居家生活,/details?id=cn.szyy2106.sleep,http://www.szyy2106.cn/privacy_sleep.txt
幸福里,居家生活,/details?id=com.f100.android,https://m.xflapp.com/magic/page/ejs/5f1e5048a0741302e84cea20?appType=manyhouse
酷家乐设计师,居家生活,/details?id=com.qunhe.designer,https://m.kujiale.com/festatic/policy
上单,居家生活,/details?id=com.android.dworderreceive,https://www.daoway.cn/app/sd/privacy.html
装修图库,居家生活,/details?id=com.to8to.tuku,https://mapp.to8to.com/about/artical/detail/50
艾佳生活,居家生活,/details?id=com.ihomefnt,https://huodong.ihomefnt.com/#/WebPrivatePolicyPage?version=1.0
全国违章查询,居家生活,/details?id=cn.mucang.xiaomi.android.wz,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=35
河池同城APP,居家生活,/details?id=com.chance.hechitongcheng,https://21chance.com/wweb_8/privacy.html
城市通,居家生活,/details?id=com.www.ccoocity.ui,http://www.ccoo.cn/bqys.html
巴乐兔租房,居家生活,/details?id=com.haimai.baletu,https://m.baletu.com/activity/privacypolicy
高明论坛,居家生活,/details?id=com.appbyme.app107059,https://share.fs2000.cn/wap/download/private
麦滴管家Pro,居家生活,/details?id=com.fh.gj,https://static.mdguanjia.com/mdlegal/privacy.html
吉时装师傅版,居家生活,/details?id=uni.UNI86A95C0,https://www.jishizhuanghz.com/about/agreement/yinsi.html
雅观智能,居家生活,/details?id=ai.argrace.oem,http://open.akeeta.tech/public/law_policy.html
玩转天全,居家生活,/details?id=com.wztq.wanzhuantianquan,http://www.21chance.com/wweb_8/privacy.html?accid=1203
珍茗好生活,居家生活,/details?id=com.gemmy.kinbos.app.client,https://weixin.gemmy.com.cn/wx/helppage/UserPrivacyclause.html
平安好车主,居家生活,/details?id=com.pingan.carowner,https://hcz-static.pingan.com.cn/fin-common/umc-uni-protocol/protocol.html#/privacy
360智慧生活,居家生活,/details?id=com.qihoo.smart,https://home.360.cn/app/privacy_agreement_zh_cn.html
飞利浦水健康,居家生活,/details?id=com.mxchip.philips,https://iot.deerma.com/html/2022_3_29_privacy_policy.html
天气物语,居家生活,/details?id=com.xijia.wy.weather,http://3ktq.com/tqwy/tqwy_privacy_policy.html
美凯龙爱家-买房租房家具装修,居家生活,/details?id=com.mkl.mkllovehome,https://app.mklij.com/pagesBase/privacyAgreement/index
打扮家服务者,居家生活,/details?id=com.dabanjia.rikistaff,https://jia.dabanjia.com/static/user-registration-agreement/index.html
易微联,居家生活,/details?id=com.coolkit,https://appcms.coolkit.cn/ewelink/privacy-ewelink/9842.html
郑生活-郑州人的生活圈,居家生活,/details?id=com.yuxingqiu.app,http://app.zhenglife.com/mag/user/v1/user/privacy?&themecolor=1693d7&a=1223
天天吉历-万年历日历黄历天气,居家生活,/details?id=com.calendar2345,http://www.77tianqi.com/h5/privacyPolicy.html
能量闹钟-冥想计时,居家生活,/details?id=com.bozhong.energy,https://www.bozhong.com/event/privacy.html?type=energyalarm
交管12128查违章,居家生活,/details?id=com.sqcat.wzquery,http://www.sqcat.cn/39f2d64d-74d9-47ce-97b5-5ad5dad09e46.html
打扮家,居家生活,/details?id=com.dabanjia.rikiuser,https://jia.dabanjia.com/static/user-registration-agreement/index.html
滔滔房产视频,居家生活,/details?id=com.moxi.taotaovideo,https://www.taotaovideo.cn/legal/privacy-agreement.html
宅家装,居家生活,/details?id=uni.UNIC76DD0F,https://zjzadmin.zhaoshangbao.com/assets/Privacy.html
星空睡眠,居家生活,/details?id=cn.szyy2106.sleep,http://www.szyy2106.cn/privacy_sleep.txt
幸福里,居家生活,/details?id=com.f100.android,https://m.xflapp.com/magic/page/ejs/5f1e5048a0741302e84cea20?appType=manyhouse
酷家乐设计师,居家生活,/details?id=com.qunhe.designer,https://m.kujiale.com/festatic/policy
上单,居家生活,/details?id=com.android.dworderreceive,https://www.daoway.cn/app/sd/privacy.html
装修图库,居家生活,/details?id=com.to8to.tuku,https://mapp.to8to.com/about/artical/detail/50
艾佳生活,居家生活,/details?id=com.ihomefnt,https://huodong.ihomefnt.com/#/WebPrivatePolicyPage?version=1.0
全国违章查询,居家生活,/details?id=cn.mucang.xiaomi.android.wz,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=35
河池同城APP,居家生活,/details?id=com.chance.hechitongcheng,https://21chance.com/wweb_8/privacy.html
万年历老黄历,居家生活,/details?id=com.jtjsb.calendar,http://ziye.ziyewl.com/h5/help/detail-282-828.html
瓜州同城,居家生活,/details?id=com.chance.guazhoutongcheng,http://www.21chance.com/wweb_8/privacy.html?accid=414
天气预报,居家生活,/details?id=com.lu.ashionweather,http://www.fingerflyapp.com/page_ashionweather/protocol/weather_app_protocol.jsp?appName=天气预报
塞罕云-智能物联-生活服务,居家生活,/details?id=com.tqdk.simply,https://jb.cklock.cn/xieyi/dist/index.html#/?type=1
异乡好居,居家生活,/details?id=com.yxhjandroid.uhouzzdis,https://static.uhzcdn.com/static/webapp/09/html/privacy.html
装修接单宝Pro,居家生活,/details?id=io.dcloud.H524FEASY,https://xieyi.5jia.vip/zhuangxiujiedanbao.html
融易找房,居家生活,/details?id=com.rongyizhaofang.elink_user,http://www.rongyizhaofang.com/about/privacy
实况天气,居家生活,/details?id=com.beemans.weather.live,http://coin.makingmoney.cn:8088/static/private/com.beemans.weather.live_xiaomi.html
石材宝,居家生活,/details?id=com.scb.scb126,http://scbstone.com/web/queryinstructionsweb?Id=2
准时天气大字版,居家生活,/details?id=com.coodong.weather.big,https://www.coodong.net/?m=home&c=View&a=index&aid=115
益猪智慧社区,居家生活,/details?id=com.zhongyi.myapplication,https://www.zykj0579.com/appdown/privacy.html
幸福钢城,居家生活,/details?id=com.iqilu.app107,https://app.iqilu.com/v1/app/about/privacy_policy?_orgid_=107
工奇兵,居家生活,/details?id=onsiteservice.esaipay.com.app,https://wxapipreview.qibingdaojia.com/api/WeixinOpen/PrivacyAgreementPage
易楼经纪人,居家生活,/details?id=com.eju.cy.drawing,https://img.jiandanhome.com/media/jdmf-yinsixieyi/jdmf_%20Privacy_Policy.html
吉星管家,居家生活,/details?id=ai.forward.proprietor,https://sso.gmtech.top/minip/privacypolicy
亿龙智能,居家生活,/details?id=com.yilong.ailockphone,https://www.zjelong.com/privacy.html
岚豹,居家生活,/details?id=ai.lambot.android.vacuum,https://www.lambot.ai/mount/lambot/privacy
比邻物业员工端,居家生活,/details?id=com.yunlin.property.staff,https://property.api.yunlinxinxi.com/employee/user/detailinformation/privacy
准点倒数日,居家生活,/details?id=com.bee.cdday,http://gwtools.redbeeai.com/daoshuri/html/agreeandprivate/private.html
精准天气-实时天气预报,居家生活,/details?id=com.fubixing.fbxweather,https://operatepreciseweather.xqtianqi.com/operate/privacy.html
查查优购,居家生活,/details?id=com.ccyg.tbk,https://h5.dhcc.wang/privacy/default.html?app_name=查查优购&company_name=长沙查查通电子商务有限公司
社会气象观测,居家生活,/details?id=com.bloomsky.bloomsky.wc,https://www.kantiantech.com/policy.html
CCB建融家园,居家生活,/details?id=com.ccbhome.lanhai,https://image.jiayuan.ccbhome.cn/scss/opss/#/privacy-policy/detail
泉诚服务师,居家生活,/details?id=com.bm001.ehome.jzy,https://oss.bm001.com/aunt/quancheng/aunt-privacypolicy.html
天气预报未来天气,居家生活,/details?id=com.weilaitianqiyb,https://weilaijishu.lofter.com/post/2017ac87_1cc3cee7c
i莞家,居家生活,/details?id=cn.gov.dg.iguanjia.app.prd,https://igj.dg.cn/app/feature/provision/#/privacy
全国实时天气,居家生活,/details?id=com.haiyan.rtweather,http://xieyi.letianqi.com/ss20220217/ss_privacy.html
啄木鸟电器维修,居家生活,/details?id=zmn.user.dqwx,https://h5.xiujiadian.com/resources/files/private-dqwx.html
纸搬客,居家生活,/details?id=com.cihon.paperbank,https://webservice.paperbanker.com/img/forApp/registerAgreement.html
真好天气-语音播报,居家生活,/details?id=com.nbkd.app.weather.verynice,https://support.qq.com/products/350289/faqs/106837
