ApplicationName,Category,DetailPage,PrivacyPolicyLink
美颜贴纸相机-滤镜特效相机,摄影摄像,/details?id=com.renren.vattcamera.android,https://short.ss.bscstorage.com/private/6e3cc2f06bc0.html
照片恢复,摄影摄像,/details?id=com.yunzhuonj.recover,http://www.yunzhuotech.cn/f14fe62f-1914-48f8-827c-d00023596eb4.html
说得相机-口播视频一说即得,摄影摄像,/details?id=com.vistring.vlogger,https://teditcam.vistring.com/privacy_policy
易企秀设计,摄影摄像,/details?id=cn.knet.eqxiu,https://lib.eqh5.com/app/private_policy.html
美图文案,摄影摄像,/details?id=com.dlzen.mtwa,https://www.dlzen.com/mtwa/privacy/
花海相机,摄影摄像,/details?id=cn.zzfx.huahai,https://www.zzfx.net.cn/policy/cn_zzfx_huahai/privacy.html
ImgMeta图片编辑助手,摄影摄像,/details?id=com.bayes.imagemaster,https://www.imgbayes.com/privacy-android
时光小屋,摄影摄像,/details?id=com.liveyap.timehut,https://www.shiguangxiaowu.cn/zh-CN/privacy
视频裁剪大师,摄影摄像,/details?id=com.camerasideas.videograb,http://treaty.loveclip.site/html/ty_userxy_xiaomi.html
贴贴TieTie,摄影摄像,/details?id=com.wemomo.tietie,https://tietie.modd.vip/tietie/privateProtocolAndroid.html
马克水印相机,摄影摄像,/details?id=com.ai.marki,https://marki.5253.com/et/topic?pageId=5eb93857bdd0e9b4cf5e1e94
多多视频制作,摄影摄像,/details?id=com.shenggu.duoduovideo,https://duoduo.shppai.top/static/privacy.html
奇妙P图,摄影摄像,/details?id=com.qimiaoptu.camera,https://docs.qq.com/doc/DT0hqcFBGWUdzRkVo
X-Hubsan 2,摄影摄像,/details?id=com.hubsan.drone,https://app.hubsan.com/view.php?page=privacy&l=zh
私密空间,摄影摄像,/details?id=fh.sqm.strongbox,http://www.fangdingtech.cn/c0a00cfb-e209-4fb7-9319-9eae7b5c0ab4.html
贴纸工坊-表情包,摄影摄像,/details?id=com.softin.sticker,https://store-us.flowever.net/metadata/Android/StickerMaker/PrivacyPolicy#贴纸工坊-表情包
放大天天看,摄影摄像,/details?id=com.muhandroidlyf.rsuctsratio,https://pro.superclear.cn/pro/clearPrivate.html?t=3&n=放大天天看
玩美彩妆,摄影摄像,/details?id=com.perfectcorp.youcammakeupcn,https://www.youcamapi.cn/stat/BeautyCircle/chs/privacy.html
Canva 可画-制作海报logo设计图,摄影摄像,/details?id=cn.canva.editor,https://about.canva.cn/privacy-policy/
海报制作大师,摄影摄像,/details?id=cn.leminet.poster,https://poster.leminet.cn/privacy
一键换发型,摄影摄像,/details?id=com.shengmitech.hairstyle,http://www.shengmitech.cn/c7539e21-9abc-4dab-8033-213d5a0a15e0.html
必剪,摄影摄像,/details?id=com.bilibili.studio,http://member.bilibili.com/studio/annyroal/bcut/private_protocol
照片修图-拼图,摄影摄像,/details?id=com.noya.collage.photocollage,http://web.leyajia.top/pp
轻言相机,摄影摄像,/details?id=com.carmera.reader,http://fanlouoss.ronggyuan.com/yJeg2x7k0P.html
炫彩表情包,摄影摄像,/details?id=com.album.xuancai,https://photo.wlanbanlv.com/usu/privacypolicy.html
拼图拼长图,摄影摄像,/details?id=com.juhe.puzzle,https://yinsi.juhe62.com/privacyPolicy/com.juhe.puzzle/拼图拼长图/
图片合成,摄影摄像,/details?id=com.maoying.longpicture,http://ying.maoyingaipu.com/f5amvWrjLcKD1nBfRO1WRHgoeC2BuibA/changtux.html
飞剪,摄影摄像,/details?id=com.gau.go.launcherex.theme.flowers.baohan,http://resource.usdget.com/feijian/privacy.html
功夫相机采集端-延时摄影远程,摄影摄像,/details?id=com.gongfuxiangji.camera,http://www.gongfuxiangji.cn/gongfuxiangji_privacy_policy.html
Foodie,摄影摄像,/details?id=com.linecorp.foodcamcn.android,http://foodie.yiruikecorp.com/privacyPolicy
美颜贴纸相机-滤镜特效相机,摄影摄像,/details?id=com.renren.vattcamera.android,https://short.ss.bscstorage.com/private/6e3cc2f06bc0.html
照片恢复,摄影摄像,/details?id=com.yunzhuonj.recover,http://www.yunzhuotech.cn/f14fe62f-1914-48f8-827c-d00023596eb4.html
说得相机-口播视频一说即得,摄影摄像,/details?id=com.vistring.vlogger,https://teditcam.vistring.com/privacy_policy
易企秀设计,摄影摄像,/details?id=cn.knet.eqxiu,https://lib.eqh5.com/app/private_policy.html
美图文案,摄影摄像,/details?id=com.dlzen.mtwa,https://www.dlzen.com/mtwa/privacy/
花海相机,摄影摄像,/details?id=cn.zzfx.huahai,https://www.zzfx.net.cn/policy/cn_zzfx_huahai/privacy.html
ImgMeta图片编辑助手,摄影摄像,/details?id=com.bayes.imagemaster,https://www.imgbayes.com/privacy-android
时光小屋,摄影摄像,/details?id=com.liveyap.timehut,https://www.shiguangxiaowu.cn/zh-CN/privacy
视频裁剪大师,摄影摄像,/details?id=com.camerasideas.videograb,http://treaty.loveclip.site/html/ty_userxy_xiaomi.html
贴贴TieTie,摄影摄像,/details?id=com.wemomo.tietie,https://tietie.modd.vip/tietie/privateProtocolAndroid.html
马克水印相机,摄影摄像,/details?id=com.ai.marki,https://marki.5253.com/et/topic?pageId=5eb93857bdd0e9b4cf5e1e94
多多视频制作,摄影摄像,/details?id=com.shenggu.duoduovideo,https://duoduo.shppai.top/static/privacy.html
奇妙P图,摄影摄像,/details?id=com.qimiaoptu.camera,https://docs.qq.com/doc/DT0hqcFBGWUdzRkVo
X-Hubsan 2,摄影摄像,/details?id=com.hubsan.drone,https://app.hubsan.com/view.php?page=privacy&l=zh
私密空间,摄影摄像,/details?id=fh.sqm.strongbox,http://www.fangdingtech.cn/c0a00cfb-e209-4fb7-9319-9eae7b5c0ab4.html
贴纸工坊-表情包,摄影摄像,/details?id=com.softin.sticker,https://store-us.flowever.net/metadata/Android/StickerMaker/PrivacyPolicy#贴纸工坊-表情包
放大天天看,摄影摄像,/details?id=com.muhandroidlyf.rsuctsratio,https://pro.superclear.cn/pro/clearPrivate.html?t=3&n=放大天天看
