ApplicationName,Category,DetailPage,PrivacyPolicyLink
自律养成,效率办公,/details?id=com.yunlian.autonomy,http://h5.skyingidea.com/autonomy/privacy.html
多蒙达司机,效率办公,/details?id=com.logistics.duomengda,https://driver-vue.dmd56.com/PrivacyAgreement
鲁班到家用户版,效率办公,/details?id=com.lbdjorder,http://order-app-h5.lbdj.com/protocol/lawProtocol
欧秀媤化妆品,效率办公,/details?id=uni.UNICBCE3D1,http://shareweb.oxius.cn/conceal.html
超级扫一扫,效率办公,/details?id=com.xiaoyi.smartzxing,https://api.xiaoyizhineng.com/private_xyzxing.html
穗好办,效率办公,/details?id=com.sy.government,https://gzshb.gzonline.gov.cn/privacy.html
同城万能哥,效率办公,/details?id=com.tcwng.s.weixiu,https://ele.damiyaya.com/index/index/yinsi
坷垃店管,效率办公,/details?id=com.android.driver.cpj6,https://www.pengzhankj.top/nd.jsp?id=2&id=2
万联创富,效率办公,/details?id=com.wsdpay.wlcf,http://privacyskt.officendt.com:805/privacy.html
节点阿米巴,效率办公,/details?id=com.cruxtek.jdamb,https://jiedianzjb.com/m/privacyPolicy.html
Word文档表格编辑-pdf转换word,效率办公,/details?id=com.palmmob.officer,http://www.palmmob.cn/yinsi/wordyinsi.html
小闪,效率办公,/details?id=com.yoka.aim,https://www.zhimagame.net/privacy.htm
丹镁,效率办公,/details?id=com.cyforeigntrade,https://dataio.dymak.cn/privacy
胖猫司机版,效率办公,/details?id=com.zhaogang.driver,https://docs.qq.com/doc/DT1p1cVhYdGlBcGVK
瑞云服务云,效率办公,/details?id=cn.com.rektec.serviceone,http://www.fscloud.com.cn/privacy.html
大有单,效率办公,/details?id=com.dayoudan.app,https://s1.res.yz.nadayou.cn/privacy.html
龙辉优配,效率办公,/details?id=com.longhuiyp1.apps,https://docs.qq.com/doc/p/46804e419caa47c13b07dc308c862a45b214096c?dver=3.0.27459971
图纸通-看CAD图纸和3D模型,效率办公,/details?id=newdim.com.dwgview,https://web.tuzhitong.com/wap/userPrivacy.html
随手写,效率办公,/details?id=com.fiistudio.fiinote,https://www.suishouxie.com/#/privacy
知工程,效率办公,/details?id=com.bingxin.engine,https://www.sdbingxin.com/yinsi.html
罐头日记,效率办公,/details?id=com.krniu.notes,http://app.qling.krniu.net/agreement/v_privacy?package=notes
猎聘招人版,效率办公,/details?id=com.lietou.recruit,https://wow.liepin.com/t1006419/852339d7.html
扫描王全能宝,效率办公,/details?id=com.lixiangdong.textscanner,https://www.camoryapps.com/saomiaoyi/privacy_policy/policy_cn_opponew_no_ad.html
夸父商家,效率办公,/details?id=merchant.kuafu.tech,https://cdn.51kuafu.com/merchant/#/pages/legal-provision/privacy-policy
华律律师端,效率办公,/details?id=com.hualv.lawyer,https://static-content.oss-cn-beijing.aliyuncs.com/policy.html 
一应欧拉,效率办公,/details?id=com.ccying.SuperProperty,https://bms.einwin.com/h5/policy/oula_privacy-policy.html
腾讯日历,效率办公,/details?id=com.tencent.calendar.app,https://calendar.tencent.com/calendar-declare.html
晓助手,效率办公,/details?id=com.xuebansoft.xinghuo.manager,https://oa.xiaojiaoyu100.com/h5/private_protocol.html
云智装,效率办公,/details?id=com.aks.xsoft.x6,http://doc.yunzhizhuang.com/doc?id=5d3fdc954d4e5a0d5bc226cb
中策云店,效率办公,/details?id=com.zcckj.market,http://misc.hzzcckj.cn/h5/protocol/privacyPolicy.html
自律养成,效率办公,/details?id=com.yunlian.autonomy,http://h5.skyingidea.com/autonomy/privacy.html
多蒙达司机,效率办公,/details?id=com.logistics.duomengda,https://driver-vue.dmd56.com/PrivacyAgreement
鲁班到家用户版,效率办公,/details?id=com.lbdjorder,http://order-app-h5.lbdj.com/protocol/lawProtocol
欧秀媤化妆品,效率办公,/details?id=uni.UNICBCE3D1,http://shareweb.oxius.cn/conceal.html
超级扫一扫,效率办公,/details?id=com.xiaoyi.smartzxing,https://api.xiaoyizhineng.com/private_xyzxing.html
