ApplicationName,Category,DetailPage,PrivacyPolicyLink
今日头条,新闻资讯,/details?id=com.ss.android.article.news,https://www.toutiao.com/privacy_protection/
第1眼新闻,新闻资讯,/details?id=com.cdvcloud.firsteye,https://gosscdnyanshi.cbgcloud.com/dyy_Privacy_policy20220412.pdf
直播吧-NBA直播足球电竞,新闻资讯,/details?id=android.zhibo8,https://www.zhibo8.cc/web/privacyPolicy.html
智慧新绛,新闻资讯,/details?id=com.foreology.xinjiang,http://www.foreology.com/zhxj-pri.html
甲秀新闻,新闻资讯,/details?id=com.xiaba2.gytt,https://5g.gywb.cn/gyw_mobile/mi_mob/v200/app/file/jxprivacy.html
中青看点,新闻资讯,/details?id=cn.youth.news,https://kd.youth.cn/h5/staticPage/about/privacyPolicy.html
观金城,新闻资讯,/details?id=com.pdmi.chengguan.media,https://jinchengguan.newgscloud.com/html/privacyStatement.html
早闻天下事,新闻资讯,/details?id=com.smart.app.jijia.worldStory,https://games.jijia-co.com/static/privacy/zaowenprivacy.html
聚酯圈,新闻资讯,/details?id=com.zxw.offer,https://threeapi.zaixun.wang/zaixun_polyesterapi//privacyPolicy.html
掌尚大庆,新闻资讯,/details?id=com.da.zsdq,https://zsdq.dqdaily.com/d/p.html
我是隆昌,新闻资讯,/details?id=com.sctvcloud.longchang,http://file.lcrmt.cn/sctv/logo/privacy.html
信阳晚报,新闻资讯,/details?id=com.htwh.xywb,http://wap.ixywb.cn/html/news/6.html
阿拉丁中文网,新闻资讯,/details?id=com.md.ald,https://aladingziben.com/PrivacyAgreement.html
非贸,新闻资讯,/details?id=com.caftrade.app,https://api01.caftrade.com/caftrade/static-resource/formal/agreement/CAF_AGREEMENT_PRIVACY_POLICY_CHN_CN.html
NIUKE跨境通,新闻资讯,/details?id=com.buymore.niukecommunication,http://web.niuke88.com/clause
齐鲁壹点,新闻资讯,/details?id=cn.com.qlwb.qiluyidian,https://activity.qiluyidian.mobi/privacy.html
冀云,新闻资讯,/details?id=com.hbrb.jiyun,https://jiyun.hebyun.com.cn/html/privacyStatement.html
经观,新闻资讯,/details?id=com.eeo.jgxw,https://jg-jgxw.eeo.com.cn/wap/frontback/platConfig/showConfig?name=storeReg
网易新闻-头条版,新闻资讯,/details?id=com.netease.newsreader.activity,https://wp.m.163.com/163/page/f2e/common/privacy/index.html?from=singlemessage&isappinstalled=0
聚焦永安,新闻资讯,/details?id=com.ffcs.mediaConvergence.yongan,https://cm.fjgdwl.com/cm-page-client/privacy?orgUid=200110161658544287&type=1
新江苏,新闻资讯,/details?id=cn.com.jschina.news,https://member.jschina.com.cn/xjs/ys.html
颍淮新闻,新闻资讯,/details?id=fynews.net.yhxwapp,https://appweb.fynews.net/privacy.html
新华财经,新闻资讯,/details?id=io.dcloud.H5B892C49,https://bm.cnfic.com.cn/sharing/share/privacyPolicy
大武汉,新闻资讯,/details?id=io.dcloud.H554B8D4B,http://m.cjrbapp.cjn.cn/member/privacy?device_id=1
河南发布,新闻资讯,/details?id=com.dahe.yxfabu,https://yxfb.dahe.cn/yxfb/hnfb_yszc.html
广东体育,新闻资讯,/details?id=com.touchtv.gdsports,http:// https://gdsport-m.itouchtv.cn/private
42 号车库,新闻资讯,/details?id=com.i42how.cheku,https://www.42how.com/article/3331
云上新星,新闻资讯,/details?id=com.ctvit.shisanshi,https://www.btzx.com.cn/share/privacy/brief1.html?name=%E4%BA%91%E4%B8%8A%E6%96%B0%E6%98%9F
广告门,新闻资讯,/details?id=com.adquan.adquan,https://mobile.adquan.com/privacy
潮安融媒,新闻资讯,/details?id=com.touchtv.chaoan,https://chaoan-m.itouchtv.cn/private
今日头条,新闻资讯,/details?id=com.ss.android.article.news,https://www.toutiao.com/privacy_protection/
第1眼新闻,新闻资讯,/details?id=com.cdvcloud.firsteye,https://gosscdnyanshi.cbgcloud.com/dyy_Privacy_policy20220412.pdf
直播吧-NBA直播足球电竞,新闻资讯,/details?id=android.zhibo8,https://www.zhibo8.cc/web/privacyPolicy.html
智慧新绛,新闻资讯,/details?id=com.foreology.xinjiang,http://www.foreology.com/zhxj-pri.html
甲秀新闻,新闻资讯,/details?id=com.xiaba2.gytt,https://5g.gywb.cn/gyw_mobile/mi_mob/v200/app/file/jxprivacy.html
中青看点,新闻资讯,/details?id=cn.youth.news,https://kd.youth.cn/h5/staticPage/about/privacyPolicy.html
观金城,新闻资讯,/details?id=com.pdmi.chengguan.media,https://jinchengguan.newgscloud.com/html/privacyStatement.html
早闻天下事,新闻资讯,/details?id=com.smart.app.jijia.worldStory,https://games.jijia-co.com/static/privacy/zaowenprivacy.html
聚酯圈,新闻资讯,/details?id=com.zxw.offer,https://threeapi.zaixun.wang/zaixun_polyesterapi//privacyPolicy.html
掌尚大庆,新闻资讯,/details?id=com.da.zsdq,https://zsdq.dqdaily.com/d/p.html
我是隆昌,新闻资讯,/details?id=com.sctvcloud.longchang,http://file.lcrmt.cn/sctv/logo/privacy.html
信阳晚报,新闻资讯,/details?id=com.htwh.xywb,http://wap.ixywb.cn/html/news/6.html
阿拉丁中文网,新闻资讯,/details?id=com.md.ald,https://aladingziben.com/PrivacyAgreement.html
非贸,新闻资讯,/details?id=com.caftrade.app,https://api01.caftrade.com/caftrade/static-resource/formal/agreement/CAF_AGREEMENT_PRIVACY_POLICY_CHN_CN.html
NIUKE跨境通,新闻资讯,/details?id=com.buymore.niukecommunication,http://web.niuke88.com/clause
齐鲁壹点,新闻资讯,/details?id=cn.com.qlwb.qiluyidian,https://activity.qiluyidian.mobi/privacy.html
冀云,新闻资讯,/details?id=com.hbrb.jiyun,https://jiyun.hebyun.com.cn/html/privacyStatement.html
经观,新闻资讯,/details?id=com.eeo.jgxw,https://jg-jgxw.eeo.com.cn/wap/frontback/platConfig/showConfig?name=storeReg
网易新闻-头条版,新闻资讯,/details?id=com.netease.newsreader.activity,https://wp.m.163.com/163/page/f2e/common/privacy/index.html?from=singlemessage&isappinstalled=0
聚焦永安,新闻资讯,/details?id=com.ffcs.mediaConvergence.yongan,https://cm.fjgdwl.com/cm-page-client/privacy?orgUid=200110161658544287&type=1
新江苏,新闻资讯,/details?id=cn.com.jschina.news,https://member.jschina.com.cn/xjs/ys.html
颍淮新闻,新闻资讯,/details?id=fynews.net.yhxwapp,https://appweb.fynews.net/privacy.html
新华财经,新闻资讯,/details?id=io.dcloud.H5B892C49,https://bm.cnfic.com.cn/sharing/share/privacyPolicy
大武汉,新闻资讯,/details?id=io.dcloud.H554B8D4B,http://m.cjrbapp.cjn.cn/member/privacy?device_id=1
河南发布,新闻资讯,/details?id=com.dahe.yxfabu,https://yxfb.dahe.cn/yxfb/hnfb_yszc.html
广东体育,新闻资讯,/details?id=com.touchtv.gdsports,http:// https://gdsport-m.itouchtv.cn/private
42 号车库,新闻资讯,/details?id=com.i42how.cheku,https://www.42how.com/article/3331
云上新星,新闻资讯,/details?id=com.ctvit.shisanshi,https://www.btzx.com.cn/share/privacy/brief1.html?name=%E4%BA%91%E4%B8%8A%E6%96%B0%E6%98%9F
广告门,新闻资讯,/details?id=com.adquan.adquan,https://mobile.adquan.com/privacy
潮安融媒,新闻资讯,/details?id=com.touchtv.chaoan,https://chaoan-m.itouchtv.cn/private
今日南川,新闻资讯,/details?id=com.xhl.nanchuan,https://mixh5.cqliving.com/privacy/android/32.html
每日湘见,新闻资讯,/details?id=xiangdong.jxtvcn.jxntv,https://xiangdong.yun.jxntv.cn/about/
天骄云,新闻资讯,/details?id=com.tianjiaoyun.news,http://tjy.zcznbj.com/policy/privacy.html
中原证券财升宝,新闻资讯,/details?id=com.hexin.plat.android.ZhongyuanSecurity,https://csbthszt.ccnew.com.cn:9805/feedback/src/app/notice.html
二三里,新闻资讯,/details?id=com.hw.okm,https://www.ersanli.cn/privacy.html?v=1
中国旅游新闻,新闻资讯,/details?id=com.founder.zglyxw,https://oss.newaircloud.com/global/user/zglyxw/mobile/config/privacy.html
牛咔视频,新闻资讯,/details?id=com.xweisoft.nbs,https://m2.nbs.cn/privacy_policy.html
掌心潼南,新闻资讯,/details?id=com.yaoyu.tongnan,https://mixh5.cqliving.com/privacy/android/37.html
非遗内蒙古,新闻资讯,/details?id=com.rdkl.feiyi,http://www.ichnmg.cn/common/about/6.shtml
看丰都,新闻资讯,/details?id=com.yaoyu.fengdu,https://mixh5.cqliving.com/privacy/android/31.html
文明江西,新闻资讯,/details?id=com.jxnews.wmjx,https://mp.tt.jxnews.com.cn/user/helps/Privacy
现场云,新闻资讯,/details?id=com.xinhuamm.xianchangyun,http://live.xinhuaapp.com/agreement.html
常州新闻,新闻资讯,/details?id=com.changzhounews.app,http://site01.cbxmt.cn/secret/index.html
汽车之家-买车有优惠,新闻资讯,/details?id=com.cubic.autohome,https://mobile.app.autohome.com.cn/set_v7.5.0/html/protocols.json
华商头条,新闻资讯,/details?id=com.hsw.zhangshangxian,https://passport.hsw.cn/index.php?m=Home&c=Register&a=privacy_policy 
智蛋管家,新闻资讯,/details?id=com.zdguanjia.app,https://www.zhidanguanjia.com/yingsi.html
i 东莞,新闻资讯,/details?id=com.cmstop.timedg,https://pub.timedg.com//member/theme/default/html/privacyPolicy.html
舜尧,新闻资讯,/details?id=com.xbzn.sy,https://www.dongyingshunyao.com:8001/shunyao_h5/index.html#/pages/login/yinsi
汽车说,新闻资讯,/details?id=com.yanming1009.rzx,http://www.qcsapp.com/about/detail/id/10
有车以后-买新车,新闻资讯,/details?id=com.youcheyihou.iyoursuv,http://res.youcheyihou.com/QA_platform/user_privacy.html
时代财经,新闻资讯,/details?id=com.timeweekly.timefinance,https://www.tfcaijing.com/privacy.htm
火爆食品饮料网,新闻资讯,/details?id=com.huobao.myapplication5888,http://www.9998.tv/App/5888/PrivacyProtection.html
百度,新闻资讯,/details?id=com.baidu.searchbox,https://s.bdstatic.com/common/agreement/privacy.html
大象新闻,新闻资讯,/details?id=com.hnr.dxxw,https://res.hntv.tv/app/conceal/index.html
昭阳云,新闻资讯,/details?id=cn.ccwb.cloud.zhaoyang.app,https://appzy.ccwb.cn/policy/index.html
央广网,新闻资讯,/details?id=news.cnr.cn,https://apicnrapp.cnr.cn/privacy_agreement.html
融汇副中心,新闻资讯,/details?id=io.dcloud.H5A353B0E,https://rmtzx.dayuntongzhou.com/web/app/app-agreement.html
今日闵行,新闻资讯,/details?id=com.wdit.shrmtmh,https://www.shmedia.tech/privacy.html
南方都市报,新闻资讯,/details?id=com.nandu,https://m.mp.oeeee.com/ndapp/ys.html
餐里眼,新闻资讯,/details?id=com.clycn.cly,https://h5.watcn.com/html/cly-agree
