ApplicationName,Category,DetailPage,PrivacyPolicyLink
安驾记录仪,旅行交通,/details?id=com.weixikeji.drivingrecorder,http://c.wotoken.com/common/protocol/driving_recorder_policy.html
平行之家商家版,旅行交通,/details?id=cn.mucang.android.parallelvehicle.manager,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=31
广阳岛,旅行交通,/details?id=com.cq1080.app.gyd,https://visit-mini.zggyd.com/pagess/policy_page
中港智运货主,旅行交通,/details?id=com.enation.b2b2c.RNconsignor,https://baiyun.obs.cn-north-4.myhuaweicloud.com/agreement/privacy.html
大大汽修,旅行交通,/details?id=com.bakheet.garage,https://qixiuh5.dada365.com/static/app_grand_ceremony/privacy-policy.html
智慧导览,旅行交通,/details?id=com.mhbtbj.beeguide,https://www.wisdomguide.cn/wisdomguidev2/login/agreement.html
小票票商家版,旅行交通,/details?id=com.xiaopiaopiao.pos,https://m.huanghepiao.com/e/PosApp/ysxy.html
房车潮惠玩,旅行交通,/details?id=com.upyuns.chwapp,https://chwplatform.upyuns.com/h5/view/notice.html?type=19
中港智运车主,旅行交通,/details?id=com.enation.b2b2c.RNcarowner,http://shipper.zhonggang365.com/zgzy_che_PrivacyPolicy.html
卡友云,旅行交通,/details?id=uni.UNI9043B71,https://kayouyun.com/yinsi.html
托迈酷客,旅行交通,/details?id=com.mirum.fx,https://hotels.folidaymall.com/static/privacy.html
乐天堂客户端-游记,旅行交通,/details?id=com.letiantang.baogalaxy,https://note.youdao.com/s/NhViclE
6帧探,旅行交通,/details?id=com.vidure.app,https://www.6zhentan.com/app/treadty_zh_CN.html
通行宝,旅行交通,/details?id=com.cmb.transpal,https://yljapp.jstxb.com/appH5/information/index.html#/privacyNotice
哈友安全辅助驾驶,旅行交通,/details?id=com.hayoou.adas,http://v.hayoou.com/safedriving/privacypolicy.php
阿那亚,旅行交通,/details?id=com.aranyaapp,https://h5.aranya.cc/txPrivacy/
零跑,旅行交通,/details?id=com.dahua.leapmotor,https://apptec.leapmotor.com/privacyAgreement.html
骑幻出行,旅行交通,/details?id=com.ridemagic.trip,http://batteryapi.zubattery.com:8081/privacyagreement.html
空港嘉华,旅行交通,/details?id=com.yjtravel,https://app.yjtravel.com/index.html#/terms?id=2
城轨易行,旅行交通,/details?id=com.bwton.msx.cgyxapp,https://cgyx.bwton.com/api_h5/helpCenter/hextechController2X.html?typeCode=43
交运通,旅行交通,/details?id=com.cqck.mobilebus,http://app.cqjytk.com/api/agreement/secret?html=1
苏心游,旅行交通,/details?id=com.xmainc.jt.xmaly,https://m.jszhwlpt.com/AboutShow?id=23
买车宝典-汽车报价,旅行交通,/details?id=com.baojiazhijia.qichebaojia,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=27
时时位置,旅行交通,/details?id=com.tech.xuyang.qianliyan,http://www.xuyang-cn.com/privacy-policy.html
安达换电,旅行交通,/details?id=uni.UNI2BF078C,http://private.andahuandian.com/
洛阳行,旅行交通,/details?id=com.lyx.tuoyue,https://sw.lybus.com/privacy.html
知行约位,旅行交通,/details?id=com.park.kx.client,https://kunxservice.kunxiangparking.cn/UserProtocol/html/about_us_reivacyagreement.html
万顺叫车,旅行交通,/details?id=com.wsecar.wsjc,https://wsjc-web.oss-cn-shenzhen.aliyuncs.com/carMobile/html/wsPrivacyService.html
芜湖轨道,旅行交通,/details?id=com.bwton.msx.whgj,https://app.wuhugd.com/nfs/app-node/client/pc/cms/3402/deploy/106/staticResource_21_1.2.0.html
邢台公交,旅行交通,/details?id=com.pandabus.android.xingtai,https://h5.pandabusapp.com/xingtai/yinsi/index.html
安驾记录仪,旅行交通,/details?id=com.weixikeji.drivingrecorder,http://c.wotoken.com/common/protocol/driving_recorder_policy.html
平行之家商家版,旅行交通,/details?id=cn.mucang.android.parallelvehicle.manager,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=31
广阳岛,旅行交通,/details?id=com.cq1080.app.gyd,https://visit-mini.zggyd.com/pagess/policy_page
中港智运货主,旅行交通,/details?id=com.enation.b2b2c.RNconsignor,https://baiyun.obs.cn-north-4.myhuaweicloud.com/agreement/privacy.html
大大汽修,旅行交通,/details?id=com.bakheet.garage,https://qixiuh5.dada365.com/static/app_grand_ceremony/privacy-policy.html
智慧导览,旅行交通,/details?id=com.mhbtbj.beeguide,https://www.wisdomguide.cn/wisdomguidev2/login/agreement.html
小票票商家版,旅行交通,/details?id=com.xiaopiaopiao.pos,https://m.huanghepiao.com/e/PosApp/ysxy.html
房车潮惠玩,旅行交通,/details?id=com.upyuns.chwapp,https://chwplatform.upyuns.com/h5/view/notice.html?type=19
