ApplicationName,Category,DetailPage,PrivacyPolicyLink
生日蛋糕-同城网红蛋糕预订平台,时尚购物,/details?id=com.shengridangao.shop,https://srdg.h5.huajiaxianhua.com/pages/public/richtext?id=2
西建之家,时尚购物,/details?id=com.yanghai.yjtshare.xijian,http://www.xijianzhijia.cn/nolay-yszc-pjid-kmyjds.html?TNW=BLANK
大渔供应链,时尚购物,/details?id=com.dayu188.android,https://pifa.dayu188.com/mobile/#/articleDetail/2
盒马,时尚购物,/details?id=com.wudaokou.hippo,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other201908122148_76955.html
吱了云,时尚购物,/details?id=cn.zhileyun,http://www.zhileyun.cn/wap/article/detail/id/5
天马垂钓,时尚购物,/details?id=com.tianmachuidiao.app,https://www.tianmachuidiao.com/agreement/private-agreement.html
指乎商家版,时尚购物,/details?id=com.zhihu.business,https://h5.zhilianiot.com/static/privacyStatement.html
魔方黑卡-新人0元购,时尚购物,/details?id=com.dmcb.mfhk,http://front.dm-cube.com/agreement/mfhk/secret.html
一网乐涛,时尚购物,/details?id=com.letao.yiwangletao,http://com18.cn/Yiwangletao-PC/xieyi.html
便乐邻,时尚购物,/details?id=com.bianlelin.user,https://m.bianlelin.com/agreement?code=USER_PRIVACY_POLICY_V2
当当,时尚购物,/details?id=com.dangdang.buy2,http://h5.dangdang.com/mix_20190917_0pzl
女王幻幻,时尚购物,/details?id=uni.UNI0D84C50,http://nwhhvip.com/ys/index.html
i茅台,时尚购物,/details?id=com.moutai.mall,https://h5.moutai519.com.cn/mt/agreement/private
艺典,时尚购物,/details?id=com.yidian.buyer,http://topic.yidianchina.com/wwwPrivacy/privacyagreement.html
一点生活,时尚购物,/details?id=com.yidianshenghuoydsh.app,http://www.simpleto.cn/privacy.html
药速宝,时尚购物,/details?id=com.lc.yaosubao,http://shuju.yaosubao.com/index.php/interfaces/Auth/webView?field=shop_yinsi
淘大集,时尚购物,/details?id=cn.com.taodaji,https://www.taodaji.com.cn/pro.html
照现生态,时尚购物,/details?id=com.eascs.zhaoxian,https://web.you-dian.cn/rulesExplain.html#/?token=&appname=EAYWD_FRIENDSHIPSHOP_ANDROID_6.1.8&level=&type=artical&id=129&env=release&jwt=null
云农吧,时尚购物,/details?id=com.cloudshd.ynb,https://ynb1.com/static/policy.html
SNKRS,时尚购物,/details?id=com.nike.snkrs,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect
好乐淘,时尚购物,/details?id=cn.buding.gumpert.xio,https://u.wcar.net.cn/3td
叮铃邻,时尚购物,/details?id=com.yykj.chat,https://lbapi.gdyunyin.com/typroject/privacyPolicy1.html
九机网,时尚购物,/details?id=ch999.app.UI,https://m.9ji.com/doc/manual/privacy
壹号拍,时尚购物,/details?id=live.hooli.top,http://www.yihaopm.com/privacy-statement/
闪萌牛牛,时尚购物,/details?id=im.weshine.nft,https://meta.weshineapp.com/agreement/privacy/
爱采购,时尚购物,/details?id=com.hengshuokeji.aicaigou,http://175.6.12.93:8036/aicg/privateP.html
多特瑞,时尚购物,/details?id=com.doterra.app,https://cvo.doterra.cn/vo/policy.html
沂联生活,时尚购物,/details?id=com.bz.yilianlife,https://tool.ymzhsq.com/index/agreement/index.html
爱你省优惠券,时尚购物,/details?id=com.jwl.tomato,https://ainishengapp.com/privacy/index.html
巨省优惠券,时尚购物,/details?id=com.ansxm.muchsavecop,https://ainishengapp.com/privacy/index.html?appCode=JS
生日蛋糕-同城网红蛋糕预订平台,时尚购物,/details?id=com.shengridangao.shop,https://srdg.h5.huajiaxianhua.com/pages/public/richtext?id=2
西建之家,时尚购物,/details?id=com.yanghai.yjtshare.xijian,http://www.xijianzhijia.cn/nolay-yszc-pjid-kmyjds.html?TNW=BLANK
大渔供应链,时尚购物,/details?id=com.dayu188.android,https://pifa.dayu188.com/mobile/#/articleDetail/2
盒马,时尚购物,/details?id=com.wudaokou.hippo,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other201908122148_76955.html
吱了云,时尚购物,/details?id=cn.zhileyun,http://www.zhileyun.cn/wap/article/detail/id/5
天马垂钓,时尚购物,/details?id=com.tianmachuidiao.app,https://www.tianmachuidiao.com/agreement/private-agreement.html
指乎商家版,时尚购物,/details?id=com.zhihu.business,https://h5.zhilianiot.com/static/privacyStatement.html
魔方黑卡-新人0元购,时尚购物,/details?id=com.dmcb.mfhk,http://front.dm-cube.com/agreement/mfhk/secret.html
一网乐涛,时尚购物,/details?id=com.letao.yiwangletao,http://com18.cn/Yiwangletao-PC/xieyi.html
便乐邻,时尚购物,/details?id=com.bianlelin.user,https://m.bianlelin.com/agreement?code=USER_PRIVACY_POLICY_V2
当当,时尚购物,/details?id=com.dangdang.buy2,http://h5.dangdang.com/mix_20190917_0pzl
女王幻幻,时尚购物,/details?id=uni.UNI0D84C50,http://nwhhvip.com/ys/index.html
i茅台,时尚购物,/details?id=com.moutai.mall,https://h5.moutai519.com.cn/mt/agreement/private
艺典,时尚购物,/details?id=com.yidian.buyer,http://topic.yidianchina.com/wwwPrivacy/privacyagreement.html
一点生活,时尚购物,/details?id=com.yidianshenghuoydsh.app,http://www.simpleto.cn/privacy.html
药速宝,时尚购物,/details?id=com.lc.yaosubao,http://shuju.yaosubao.com/index.php/interfaces/Auth/webView?field=shop_yinsi
淘大集,时尚购物,/details?id=cn.com.taodaji,https://www.taodaji.com.cn/pro.html
照现生态,时尚购物,/details?id=com.eascs.zhaoxian,https://web.you-dian.cn/rulesExplain.html#/?token=&appname=EAYWD_FRIENDSHIPSHOP_ANDROID_6.1.8&level=&type=artical&id=129&env=release&jwt=null
云农吧,时尚购物,/details?id=com.cloudshd.ynb,https://ynb1.com/static/policy.html
SNKRS,时尚购物,/details?id=com.nike.snkrs,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect
好乐淘,时尚购物,/details?id=cn.buding.gumpert.xio,https://u.wcar.net.cn/3td
叮铃邻,时尚购物,/details?id=com.yykj.chat,https://lbapi.gdyunyin.com/typroject/privacyPolicy1.html
九机网,时尚购物,/details?id=ch999.app.UI,https://m.9ji.com/doc/manual/privacy
壹号拍,时尚购物,/details?id=live.hooli.top,http://www.yihaopm.com/privacy-statement/
闪萌牛牛,时尚购物,/details?id=im.weshine.nft,https://meta.weshineapp.com/agreement/privacy/
爱采购,时尚购物,/details?id=com.hengshuokeji.aicaigou,http://175.6.12.93:8036/aicg/privateP.html
多特瑞,时尚购物,/details?id=com.doterra.app,https://cvo.doterra.cn/vo/policy.html
沂联生活,时尚购物,/details?id=com.bz.yilianlife,https://tool.ymzhsq.com/index/agreement/index.html
爱你省优惠券,时尚购物,/details?id=com.jwl.tomato,https://ainishengapp.com/privacy/index.html
巨省优惠券,时尚购物,/details?id=com.ansxm.muchsavecop,https://ainishengapp.com/privacy/index.html?appCode=JS
鱼虾蟹,时尚购物,/details?id=com.yuxiaxieapp.junhao,https://www.pengzhankj.top/nd.jsp?id=17
食行生鲜,时尚购物,/details?id=com.gem.tastyfood,https://wechat-1.34580.com/help/help?size=2&id=73
指乎,时尚购物,/details?id=com.fingershopping,https://h5.zhilianiot.com/static/privacyStatement.html
简禾易购,时尚购物,/details?id=com.jianheyigou.purchaser,https://shop.jianheyigou.cn/privacy/GoMeiPurchaserUserPrivacyAgreement.html
快豹生活,时尚购物,/details?id=com.ertls.kuaibao,http://itui.ertls.cn/static/html/privacy_protocol.html
竹必木威,时尚购物,/details?id=com.zhubimu.moodshop,http://www.chuzhuoxinxikeji.cn/mzbw.html
元星球数藏,时尚购物,/details?id=com.iyuanxingqiu,https://www.iyuanxingqiu.com/server/privacy_policy.html
永辉生活,时尚购物,/details?id=cn.yonghui.hyd,https://m.yonghuivip.com/yh-activity/user_privacy/index.html
辛超师傅,时尚购物,/details?id=cn.xinchaoyun.worker,https://www.xinchaoyun.cn/privacy_clause_sf.html
济商盟,时尚购物,/details?id=com.huizu.ditang,http://share.huizukeji.cn/index/index/text?id=83
話梅-全球精品护肤美妆购物平台,时尚购物,/details?id=com.harmay.harmay,https://m.harmay.com/legal/privacy-policy.html
奇麟鲜品商家版,时尚购物,/details?id=com.easyder.qinlin.supplier,http://h5.qilin70.cn/pagesLogin/views/login/agreementPrivacy
IKEA宜家家居,时尚购物,/details?id=com.ingka.ikea.app.cn.prod,https://res.app.ikea.cn/page/privacy_policy.html
肥猫网,时尚购物,/details?id=com.odx_app,https://www.ottemall.com/h5/#/policy/privacy
番茄严选,时尚购物,/details?id=com.tomatocn.app,http://www.tomatogou.com/nd.jsp?id=15
有肆,时尚购物,/details?id=com.yousiclub.youthapp,http://www.yousiclub.com/yszc.html
链淘惠,时尚购物,/details?id=com.liantaoapp.liantao,https://lt.sichuananpeng.com/h5/app/protocol_privacy/
好店连连联盟,时尚购物,/details?id=com.xyh.union,http://spread.league.linkiebuy.com/pages/user/h5Pages/index?id=3
五新好生活,时尚购物,/details?id=com.hsh.mall,https://fivenew.ihaoshenghuo.com/privacy
万表二手表,时尚购物,/details?id=com.wbiao.wbauction,https://m.wbiao.cn/topics/sharepolicy/
奇麟鲜品,时尚购物,/details?id=com.easyder.qinlin.user,http://h5.qilin70.cn/pagesLogin/views/login/agreementPrivacy
喵福利,时尚购物,/details?id=com.moshuang.miaofuli,https://www.miaofuli.cn/screen/privacy-policy/pages/index/index.html
赚赚严选,时尚购物,/details?id=com.ahrykj.niuzhuanzhuan,https://www.zhuanzhuanyanxuan.com/#/user/agreement
特购,时尚购物,/details?id=com.tegou.zhongyu,http://www.tego.net.cn/index/index/privacypolicy
有米日记,时尚购物,/details?id=com.lhwlkj.ymrjapp,https://ymrjimages.kjyoumi.com/document/PrivacyRegulations220321.pdf
花生找车,时尚购物,/details?id=com.chebaoyan.hszc,http://api.huashengyouxuan.com/h5/agreement/privacyPolicy.html
全拍网,时尚购物,/details?id=com.qpw.auction,https://api.allauc.com/index/index/article.html
货捕头杭州女装网一手服装批发网,时尚购物,/details?id=com.leoman.acquire,https://www.hznzcn.com/membercenter/agreement
亿硕花卉,时尚购物,/details?id=com.sdkj.flower,https://www.yshh.shop/yszc.html
惠很多生活,时尚购物,/details?id=cn.huihenduocn.app,https://mall.huihenduocn.cn/privacy.html
