ApplicationName,Category,DetailPage,PrivacyPolicyLink
微篇,聊天社交,/details?id=com.vv51.vpian,https://p.51vv.com/wx/m/aboutme/protocol_private.html
心颜,聊天社交,/details?id=com.netease.xinyan,https://h5.wave.163.com/m/at/6242b62e97858faed8802f1e
对玩,聊天社交,/details?id=com.yyhd.happywolf,https://h5.thlrs.com/inline/settings/privacy/index.html
无线荆州,聊天社交,/details?id=com.jingzhou,http://share.jztvxmt.com/wap/download/private
馋味坊,聊天社交,/details?id=com.anonymous.jxyp,https://kdocs.cn/l/covrTXb8R1ja
黄瓜视频交友,聊天社交,/details?id=com.xy.huanggua,https://www.hfxinyilive.com/app/hgspsq/privacy/index.html
寻花,聊天社交,/details?id=com.tm.xunhuan,https://shimo.im/docs/gO3ox0ngVMID7zqD/ 
必壹爱,聊天社交,/details?id=com.biyiai.app,https://www.biyiai.com/m/about.php?t=pyclause
唔哩星球-二次元聊天交友,聊天社交,/details?id=com.guji.loveparty,http://h5.guji-inc.com/agreement
十点聊天-社交聊天软件,聊天社交,/details?id=com.bingo.yeliao,http://www.yeliaovip.com/protocol.html
同娱 - 同屏娱乐同屏一起聊,聊天社交,/details?id=com.ivideohome.synchfun,https://www.ivideohome.com/common/tp-privacy-mobile
飞鸽博客,聊天社交,/details?id=com.feige.com,https://feigeblog.com/web/home/rule_private
COCO电音,聊天社交,/details?id=com.zqb.cocoradio,https://cocodown.junzhi169.com/front/privacyPolicy/policy.html
爱约会-附近约陌生交友,聊天社交,/details?id=com.chunhua.tcmy,https://xiuqiu.qiujiaoyou.net/h5/static/agreement/private/private-agreement.html?companyNameZh=5YyX5Lqs5LmZ5pyq5paH6L6+56eR5oqA5pyJ6ZmQ5YWs5Y+4&appNameZh=54ix57qm5Lya&
V聊,聊天社交,/details?id=com.vliao.vchat,http://sp69.xiaomi.vliao12.com:8668/html/privacy.html
缘宝,聊天社交,/details?id=com.bysun.android,http://www.yuanbaohurry.cn/private.html
可话,聊天社交,/details?id=com.app.tideswing,https://www.tideswing.fun/privacy-policy
扩列漂流瓶,聊天社交,/details?id=dream.com.piao,https://riceball.zhuangb123.com/meet-yszc
PicoPico-在线恋爱主题乐园,聊天社交,/details?id=com.xintiaotime.yoy,https://api.picopi.cn/h5/app/privacy.html
派派,聊天社交,/details?id=com.ifreetalk.ftalk,https://www.17paipai.cn/privacy.html
对缘同城版,聊天社交,/details?id=com.lingxi.city,https://activity.me.inke.cn/770
墩墩星球,聊天社交,/details?id=cn.beiyin,https://guifan.91w8.cn/Privacy-beiyin.html
牵寻,聊天社交,/details?id=com.mostone.gochat,https://www.92qianxun.com/agreement/3
在吗,聊天社交,/details?id=com.zaimashopvbnm.good,http://zaima.meiyue.co/api/page/index/id/3
