ApplicationName,Category,DetailPage,PrivacyPolicyLink
烟行直销银行,金融理财,/details?id=com.iss.dbank.yantai,https://ebank.yantaibank.net/image/816/cm/privacy_upload/8cb86a5fb96340728dba0a731768a586.pdf
花生记账,金融理财,/details?id=com.anguomob.bookkeeping,https://doc.anguomob.com/web/#/8?page_id=260
合伙记账本,金融理财,/details?id=com.hehuozhang.hehuojizhangben,https://hehuozhang.feixiabd.com/?a=yinsi
迅动股票,金融理财,/details?id=com.xdstock.app.andriod.client,https://m.xdstock.com/mobile/appPrivacyPolicySCR.do 
掌上海银,金融理财,/details?id=com.chyjr.customerplatform,https://wx.chyjr.com/hycps-cust-mobile/policy.html
签个条-借钱借条欠条,金融理财,/details?id=com.qiangetiao,https://h5.qiangetiao.com/secret.html
我来数科-借钱贷款平台,金融理财,/details?id=co.welab.wolaidai,https://japi.wolaidai.com/agreement/api/v1/getCreditReport?type=privacy_policy
保代通,金融理财,/details?id=com.bdtbw.insurancenet,https://cdn.bdtbw.com/app/yszc.pdf
你我贷借款,金融理财,/details?id=com.niwodai.universityloan,https://ka.longshangxiaodai.com/loans-mobile/event.do?method=tg&a=5820160000132187
和包,金融理财,/details?id=com.cmcc.hebao,https://www.cmpay.com/info/wap/client/flow/rightsOfprivacy.html
马上金融,金融理财,/details?id=com.msxf.loan,https://vayh.msxf.com/protocol/privacy_protocol
甘肃银行,金融理财,/details?id=com.yitong.gansu.mobilebank,http://resource.gsbankchina.com/res/agreement/agreement-UserPrivacyProtocol.pdf
翼支付,金融理财,/details?id=com.chinatelecom.bestpayclient,https://ctcdn.bestpay.cn/html/h5-page/ysxy/bestpay-privacy-policy.html
AiGe记账助手,金融理财,/details?id=com.aweproject.app.dpabtwo,https://www.pengzhankj.top/nd.jsp?id=23
公募排排网-基金投资理财软件,金融理财,/details?id=com.ppwfund.pub,https://m.ppwfund.com/protocol/privacy
随手记账,金融理财,/details?id=com.yuanli.KeepingBook,http://rubbish.yuanlikj.cn/yszc/hw/yl/sbjz.html 
懒猫存钱,金融理财,/details?id=com.vvbc.yyyt.bookkeeper,http://note.youdao.com/s/1LHA4l6L
玩股成金,金融理财,/details?id=com.yumei.game.engine.ui.client,http://web.traderwin.com/privacy.html
兴川信用卡,金融理财,/details?id=cn.com.scnxbank.mbank,http://img.scrcu.com/fileServer/files/image/pc/2020/12/22/1/goods/20201222124731906AIv9FXyu.png
工银e生活,金融理财,/details?id=com.icbc.elife,https://m.icbc.com.cn/ICBC/%D0%C5%D3%C3%BF%A8/e%C9%FA%BB%EE/agreement_elife.htm
新疆银行手机银行,金融理财,/details?id=com.xjbank.mbk,https://wx.xjbank.com/wxbank-web/page/pdfview/web/viewer.html?file=%2Fwxbank-web%2FriskAssess%2FonlinePDF.do%3Fdir%3Dfinance_prod%2Fxygs%26fileName%3Dxy1.pdf
雪球,金融理财,/details?id=com.xueqiu.android,https://xueqiu.com/law/privacy
众安贷,金融理财,/details?id=com.zaxd.loan,https://spare.zaxd.ink/yinsishengming
支付宝,金融理财,/details?id=com.eg.android.AlipayGphone,https://render.alipay.com/p/c/k2cx0tg8
惠支付商户版,金融理财,/details?id=com.scrcu.ebap.mer,http://img.scrcu.com/fileServer//files/media/pc/2020/12/08/1/goods/20201208141222989PZWUcIvS.pdf?n=四川省农村信用社惠支付商户版隐私政策V1.1.pdf&matching=下载
天津农商银行,金融理财,/details?id=com.csii.tiannongshang.mobilebank,http://www.trcbank.com.cn/2014/12-1/10080110715.html
我要记账,金融理财,/details?id=me.majiajie.bookkeeping,https://keepaccounts.cn/legal/privacy.html
投资大师,金融理财,/details?id=com.jzsec.imaster,https://c.jzsec.com/sysstatic/getonepage?title=capp_privacy_v1.0
华宝手机证券,金融理财,/details?id=com.hbscphone,https://www.cnhbstock.com/view/privacy.html
招商基金,金融理财,/details?id=com.logansoft.zcbao,https://static.cmfchina.com/zqbh5/faqPrivacyProtocol.html
烟行直销银行,金融理财,/details?id=com.iss.dbank.yantai,https://ebank.yantaibank.net/image/816/cm/privacy_upload/8cb86a5fb96340728dba0a731768a586.pdf
花生记账,金融理财,/details?id=com.anguomob.bookkeeping,https://doc.anguomob.com/web/#/8?page_id=260
合伙记账本,金融理财,/details?id=com.hehuozhang.hehuojizhangben,https://hehuozhang.feixiabd.com/?a=yinsi
迅动股票,金融理财,/details?id=com.xdstock.app.andriod.client,https://m.xdstock.com/mobile/appPrivacyPolicySCR.do 
掌上海银,金融理财,/details?id=com.chyjr.customerplatform,https://wx.chyjr.com/hycps-cust-mobile/policy.html
签个条-借钱借条欠条,金融理财,/details?id=com.qiangetiao,https://h5.qiangetiao.com/secret.html
我来数科-借钱贷款平台,金融理财,/details?id=co.welab.wolaidai,https://japi.wolaidai.com/agreement/api/v1/getCreditReport?type=privacy_policy
保代通,金融理财,/details?id=com.bdtbw.insurancenet,https://cdn.bdtbw.com/app/yszc.pdf
你我贷借款,金融理财,/details?id=com.niwodai.universityloan,https://ka.longshangxiaodai.com/loans-mobile/event.do?method=tg&a=5820160000132187
和包,金融理财,/details?id=com.cmcc.hebao,https://www.cmpay.com/info/wap/client/flow/rightsOfprivacy.html
马上金融,金融理财,/details?id=com.msxf.loan,https://vayh.msxf.com/protocol/privacy_protocol
甘肃银行,金融理财,/details?id=com.yitong.gansu.mobilebank,http://resource.gsbankchina.com/res/agreement/agreement-UserPrivacyProtocol.pdf
翼支付,金融理财,/details?id=com.chinatelecom.bestpayclient,https://ctcdn.bestpay.cn/html/h5-page/ysxy/bestpay-privacy-policy.html
AiGe记账助手,金融理财,/details?id=com.aweproject.app.dpabtwo,https://www.pengzhankj.top/nd.jsp?id=23
公募排排网-基金投资理财软件,金融理财,/details?id=com.ppwfund.pub,https://m.ppwfund.com/protocol/privacy
随手记账,金融理财,/details?id=com.yuanli.KeepingBook,http://rubbish.yuanlikj.cn/yszc/hw/yl/sbjz.html 
懒猫存钱,金融理财,/details?id=com.vvbc.yyyt.bookkeeper,http://note.youdao.com/s/1LHA4l6L
玩股成金,金融理财,/details?id=com.yumei.game.engine.ui.client,http://web.traderwin.com/privacy.html
兴川信用卡,金融理财,/details?id=cn.com.scnxbank.mbank,http://img.scrcu.com/fileServer/files/image/pc/2020/12/22/1/goods/20201222124731906AIv9FXyu.png
工银e生活,金融理财,/details?id=com.icbc.elife,https://m.icbc.com.cn/ICBC/%D0%C5%D3%C3%BF%A8/e%C9%FA%BB%EE/agreement_elife.htm
新疆银行手机银行,金融理财,/details?id=com.xjbank.mbk,https://wx.xjbank.com/wxbank-web/page/pdfview/web/viewer.html?file=%2Fwxbank-web%2FriskAssess%2FonlinePDF.do%3Fdir%3Dfinance_prod%2Fxygs%26fileName%3Dxy1.pdf
雪球,金融理财,/details?id=com.xueqiu.android,https://xueqiu.com/law/privacy
众安贷,金融理财,/details?id=com.zaxd.loan,https://spare.zaxd.ink/yinsishengming
支付宝,金融理财,/details?id=com.eg.android.AlipayGphone,https://render.alipay.com/p/c/k2cx0tg8
惠支付商户版,金融理财,/details?id=com.scrcu.ebap.mer,http://img.scrcu.com/fileServer//files/media/pc/2020/12/08/1/goods/20201208141222989PZWUcIvS.pdf?n=四川省农村信用社惠支付商户版隐私政策V1.1.pdf&matching=下载
天津农商银行,金融理财,/details?id=com.csii.tiannongshang.mobilebank,http://www.trcbank.com.cn/2014/12-1/10080110715.html
我要记账,金融理财,/details?id=me.majiajie.bookkeeping,https://keepaccounts.cn/legal/privacy.html
投资大师,金融理财,/details?id=com.jzsec.imaster,https://c.jzsec.com/sysstatic/getonepage?title=capp_privacy_v1.0
华宝手机证券,金融理财,/details?id=com.hbscphone,https://www.cnhbstock.com/view/privacy.html
招商基金,金融理财,/details?id=com.logansoft.zcbao,https://static.cmfchina.com/zqbh5/faqPrivacyProtocol.html
轻便记账本安卓手机软件,金融理财,/details?id=com.amtyc2.cocosandroid,https://www.pengzhankj.top/nd.jsp?id=45
中鑫金,金融理财,/details?id=com.naratech.app.middlegolds,http://www.beijingzxj.com/privacy.html
兴业银行,金融理财,/details?id=com.cib.cibmb,http://mobile.cib.com.cn/netbank/cn/aboutCIB/about/notice/other/20200113.html
正心谷资本,金融理财,/details?id=com.loyal.m,https://m.loyalvalleycapital.com/cms/protocol/privacyService
郑州银行,金融理财,/details?id=com.zzbank.pibp,https://pmbk.zzbank.cn/vueh5/zz_agreement/privacy_agreement.html
度小满理财,金融理财,/details?id=com.baidu.finance,https://8.duxiaoman.com/content/app/wise_secretright.html
万洲金业-贵金属黄金投资平台,金融理财,/details?id=com.wzg.company,https://app2.wzg.com:50010/?r=app/user_privacy&v=v1
极简记账,金融理财,/details?id=com.luyun.simpleaccout,http://www.ludeqingyun.com/privacy.html
光大期货,金融理财,/details?id=com.guangdaqihuo.mhdxh,https://www.ebfcn.net:8443/privacy.html
首创番茄财富-炒股,金融理财,/details?id=com.thinkive.android.shouchuang_invest,https://sptt.sczq.com.cn:9804/xieyi/ysxy.html
丰收企业管家,金融理财,/details?id=com.zjrc.cba,https://cba.zj96596.com/cba-gateway/CBA/fengshouPrivacyAgree.html
同花顺爱基金-基金理财,金融理财,/details?id=com.hexin.android.bank,https://fund.10jqka.com.cn/ifundapp_app/public/m/help/FW-1481.html
Wind金融终端,金融理财,/details?id=windinfo.android,https://t.wind.com.cn/Mob.WFT.Web/M/#/protocol/register/103
会选股,金融理财,/details?id=com.baidao.silver,https://h5.chongnengjihua.com/common-protocal/protocol.html?appCode=com.baidao.silver&protocolCode=0&type=detail
呱呱财经,金融理财,/details?id=com.guagua.finance,http://a.ggcj.com/app/android/words/index.html
三湘企业管家,金融理财,/details?id=com.csxbank.enterprisecloud,https://css.csxbank.com/ecs-web/page/index-release.html#page/01/07/P010701.html
德讯证顾,金融理财,/details?id=com.dexun.dxzqgw,https://www.dexunzhenggu.cn/html/declaration.html
持股帮,金融理财,/details?id=com.wlstock.fund,https://hgk.wlstock.com/Html/PrivacyPolicy.html
长银消费金融,金融理财,/details?id=cn.com.cycfc.cyxfjrapp,https://cap.cycfc.com:7318/maccs//html/privacy.html
洪泰财富,金融理财,/details?id=com.hongtaiwealth.wealth,https://m.hongtaiwealth.com/htcf/privacyProtection
新财富,金融理财,/details?id=cn.xcf,http://www.xcf.cn/s/aboutUs.html?about=4
东吴村镇银行,金融理财,/details?id=com.suzhoubank.countybank,https://mobilebank.suzhoubank.com/mbank/pages/czyh_privacy.html
