ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
快读笔趣阁免费小说,图书阅读,com.dawenming.kbreader,https://www.suiwenyuedu.com/app/policy.html,success
懒人听书,图书阅读,bubei.tingshu,https://m.lrts.me/h5/help/privacy_android,success
中国航天期刊平台,图书阅读,com.wf.yuhang,http://www.zghtqk.com/SKY/js/phone/privacy.html,success
华为阅读,图书阅读,com.huawei.hwireader,https://consumer.huawei.com/minisite/cloudservice/huaweireader/privacy-statement.htm?code=CN&language=zh_Hans_CN,success
全民小说-免费版,图书阅读,com.duokan.free,https://www.duokan.com/c/free/privacy_v2,success
IT之家,图书阅读,com.ruanmei.ithome,https://dat.ruanmei.com/ithome/privacy/privacy.html,success
新周刊-资讯阅读,图书阅读,com.newsweekly.livepi,https://app.neweekly.com.cn/webm/app/privacy,success
请看书,图书阅读,com.qingkanshu.qks,https://api.qingkanshu.cn/website/policy.html?b=YXBwaWQ9ODEmYXBwbmFtZT3or7fnnIvkuaY=,success
狗狗读书,图书阅读,com.gougoudushu.ggdsreader,http://page.ynuotech.com/site/privacy-policy?id=1,success
书巢小说,图书阅读,com.shuchao.scapc,https://api.shuchaoapp.cn/website/policy.html?b=YXBwaWQ9NzcmYXBwbmFtZT3kuablt6LlsI/or7Q=,success
文心,图书阅读,com.wenxin.bitlingqi,http://wenxinapp.com/user/privacy,success
小书狐-免费小说电子书阅读神器,图书阅读,com.read.xsh,https://xst.xstread.com/appPage/privacyPolicyAD?channel=mqx_7201,success
书路阅读,图书阅读,com.shulu.read,https://file-1302489287.cos.ap-beijing.myqcloud.com/website/shulu_privacy_agreement.html,success
酷匠阅读,图书阅读,com.dpx.kujiang,https://m.kujiang.com/book/private,success
浩量悦读,图书阅读,com.haoliang.booknovel,https://api.zhongyue001.com/note/privacy?package=hl,success
飒漫画,图书阅读,com.comic.isaman,https://m.samh.xndm.tech/samh_static/privacy/index.html,success
小说仓库,图书阅读,com.story.housezx,https://short.ss.bscstorage.com/private/1a043f8bab7f.html,success
点众快看小说,图书阅读,com.ishugui,https://privacy.wcread.cn/agreement/index.html?pname=com.ishugui,success
耽美小说大全,图书阅读,com.mengjun.Novel_Vest,https://app.shubl.com/setting/privacypolicy/danmei_novel?date=20220209,success
息壤阅读,图书阅读,com.readunion.ireader,https://h5.xrzww.com/privacy.html,success
淘小说-阅读赚钱,图书阅读,com.martian.ttbook,https://ty.taoyuewenhua.net/privacy.html,success
精塾国学,图书阅读,com.jingshu.guoxue,http://share.jingshuxueyuan.com/user_ys.html,success
扇贝阅读,图书阅读,com.shanbay.news,https://media-zip1.baydn.com/op_pub_file/rsmccv/e411b73b6aa463d6c7d15345d33bae8f.7493c60033e3ffa753b47cb780829abb.html,success
钛空时间,图书阅读,com.tmtpost.learning,https://m.tiko.club/privacy,success
豆花阅读,图书阅读,com.douhuayuedu.douhua,https://api.douhuawenxue.com/journal/detail?id=793,success
布咕阅读-中长篇同人及原创小说,图书阅读,uni.UNI001CBA1,http://www.bgwxc.com/module/article/article.php?tid=5&aid=4http://www.bgwxc.com/module/article/article.php?tid=5&aid=4,success
阅读神器,图书阅读,com.jie.bookreader,http://baby.dadawh.com:1807/read.html,success
学力星球,图书阅读,cc.xlstar.xuelistar,https://m.xlstar.cc/agreement?article_type=7,success
咚漫漫画,图书阅读,com.naver.linewebtoon.cn,https://www.dongmanmanhua.cn/terms#privacyPolicy,success
快读笔趣阁免费小说,图书阅读,com.dawenming.kbreader,https://www.suiwenyuedu.com/app/policy.html,success
懒人听书,图书阅读,bubei.tingshu,https://m.lrts.me/h5/help/privacy_android,success
中国航天期刊平台,图书阅读,com.wf.yuhang,http://www.zghtqk.com/SKY/js/phone/privacy.html,success
华为阅读,图书阅读,com.huawei.hwireader,https://consumer.huawei.com/minisite/cloudservice/huaweireader/privacy-statement.htm?code=CN&language=zh_Hans_CN,success
