ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
每日占卜,娱乐消遣,com.zsxf.feelingtestmaster,http://47.90.28.148:8090/app/kjszzsxf/yszc.html,success
致力起名取名软件,娱乐消遣,com.kejiqiming.shuimobaobo,http://www.labczk.com/dsqm-agreement.html,success
掌上荣耀,娱乐消遣,com.zsry.zsry,http://egg-machine.telecomsevice.com/app/protocol/zhangshangrongyao/protocol.html?privacy=1,success
萌我变声器,娱乐消遣,com.tian.voicechangerpro,https://voice.i7play.com/xieyi-pri.html,success
千游,娱乐消遣,com.example.xiaobing.qianyou,https://m.xbyx77.com/nqy_privacy,success
扎堆儿,娱乐消遣,com.zd.zhaduier,https://zhadui.jujuba2021.com/index.php/index/zc.html,success
社恐快跑,娱乐消遣,com.soical.yaoyao,http://ossfile.pangbaoapp.com/a29cb046-e5fd-4869-b50d-381e470b027c_f_1179052776.html,success
小决定-大转盘万能钥匙,娱乐消遣,com.mygc.xjdxxp,https://www.tiantianyouhuiquan.com/html/yszc/xjd/yszc.html,success
739游戏,娱乐消遣,xiaobingyouxi.bjkyzh.miguyouxixmxm,https://m.xbyx77.com/qsj_privacy,success
MBIT职业性格测试专家,娱乐消遣,com.csd.mbtixinli.and,https://doc.360qnw.com/web/#/19,success
电话变声器,娱乐消遣,cn.sqcat.voicechanger,http://www.weilaihongtech.cn/privacy-biansheng.htm,success
咪咕快游,娱乐消遣,cn.emagsoftware.gamehall,https://passport.migu.cn/portal/privacy/appprotocol?sourceid=206026,success
娃娃多,娱乐消遣,com.telecomsevice.wawaduo,https://egg-machine.telecomsevice.com/app/protocol/wawaduo/protocol.html?privacy=1,success
我的自传,娱乐消遣,com.zzkj.zpzz,https://h5.zizhuankeji.com/html/privacyAgreement.html,success
角色对话生成器,娱乐消遣,com.jinshengyuan.chatlike,https://chatlike.jinshengyuan.co/source/plugin/jnpar_discuzapi/appneed/privacy.html,success
暴走P图,娱乐消遣,a.baozouptu,https://blog.csdn.net/hn_lgc/article/details/100146856,success
宝宝起名好运,娱乐消遣,com.aokj.bbqmb,http://aokj.top/user/privacy,success
橡子星座,娱乐消遣,com.xiaodao.aboutstar,http://astro.smallsword.cn/www/apps/agreement/privacy_xinzuo_android.html,success
爱吾宝盒,娱乐消遣,com.magic.mcsxl,https://short.ss.bscstorage.com/private/d9cfba42a525.html,success
无忧心理测试,娱乐消遣,com.csd.wuyouxinli.and,https://doc.360qnw.com/web/#/28,success
起名取名大师,娱乐消遣,com.qicode.namechild,https://www.artsignpro.com/web/policy/?download=false&header_footer=false,success
酷签签名设计,娱乐消遣,com.qimacode.signmaster,https://www.artsignpro.com/web/policy/?download=false&header_footer=false,success
火电屏幕触激,娱乐消遣,com.mandg.funny.firescreen,https://www.mandgtech.cn/firescreen_privacy_cn/,success
趣味萌宠,娱乐消遣,life.desktop.pet,http://cdn.file.yongxinshuo.com/94d6083f-acdf-4e69-854d-833eb10b4a46_f_xiaomi.html,success
特牛变声器-百变趣味语音包,娱乐消遣,com.befun.tnchangesound,https://befun-h5.2019bf.top/singleAgreement/inflexion/privacy_policy.html,success
糗事百科,娱乐消遣,qsbk.app,http://about.qiushibaike.com/law/privacy.html,success
舞立方,娱乐消遣,com.shenghuayule.dcbase,https://dancewebdemo.shenghuayule.com/dance/#/pages/privacy,success
租号玩专业版,娱乐消遣,com.dofun.zhw.pro,http://www.zuhaowan.com/Appv2/help/privacy,success
