ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
金属探测仪,实用工具,com.aokj.metaldetector,https://docs.qq.com/doc/DWXBVSWJmeEpUc3VV,success
超强省电大师,实用工具,com.bee.battery,http://imgchongdian.redbeeai.com/h5/privacy.html,success
巧手到家,实用工具,uni.UNI52F505C,https://www.qiaoshoudaojia.com/policy.html,success
骆驼家装,实用工具,uni.UNI7F66742,https://www.luotuojiazhuang.com/privacy.html,success
监理拍,实用工具,com.gov.shoot,http://www.gdzgjl.com/yssy.pdf,success
简研,实用工具,com.yaoyanshe.trialfield,https://docs.yaoyanshe.com/pmcp-app/agreement.html,success
全民清理王极速版,实用工具,com.quanmin.master,https://www.tshareapps.com/policy/com_quanmin_master/privacy.html,success
江西人社,实用工具,com.jxrs.jxrsapp,https://mobile.jxhrss.gov.cn/whmstr-h5-api-web/f/ucenter/privacyPolicy,success
车300新车二手车,实用工具,com.car300.activity,https://dingjia.che300.com/h5pages/H5pages/cappPrivacyPolicy,success
LMiot,实用工具,com.lemeiiot.haiwaiapp,http://lemeiot.com/public/lmiot_plus/PP_CN.html,success
紧急休闲宝,实用工具,cute.tiger.leisuretreasure,https://nbweb.qufenqian.vip/page/help/privacy_protocol?_appid=206000001&_ch=20003,success
秒速安全大师,实用工具,com.miaosuanquan.safe,https://share.norlinked.com/product/terms/miaosuanquan/privacypolicy.html,success
安徽掌上10000,实用工具,com.wondertek.ahPalm10000,http://www.ahzs10000.com/agreement/yhyszc202101.html,success
魔法来电秀,实用工具,com.xiaojingling.mfldx,https://mfldx.smallspirit.cn/yinsi/index.html,success
来电秀极速版,实用工具,com.callshow.fastapp,http://aliyunoss.doupingit.com/154a3a45-a022-41f4-9a8b-2b4227733173_f_xiaomi.html,success
电波表对时,实用工具,com.jntc.clockwavesync,https://www.ksnianyueri.cn/sp.html,success
中京商品,实用工具,com.czzdit.mit_atrade.bd.E72,http://www.zjcem.com/index.php?m=content&c=index&a=show&catid=22&id=32472,success
