ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
城市通,居家生活,com.www.ccoocity.ui,http://www.ccoo.cn/bqys.html,success
巴乐兔租房,居家生活,com.haimai.baletu,https://m.baletu.com/activity/privacypolicy,success
高明论坛,居家生活,com.appbyme.app107059,https://share.fs2000.cn/wap/download/private,success
麦滴管家Pro,居家生活,com.fh.gj,https://static.mdguanjia.com/mdlegal/privacy.html,success
吉时装师傅版,居家生活,uni.UNI86A95C0,https://www.jishizhuanghz.com/about/agreement/yinsi.html,success
雅观智能,居家生活,ai.argrace.oem,http://open.akeeta.tech/public/law_policy.html,success
玩转天全,居家生活,com.wztq.wanzhuantianquan,http://www.21chance.com/wweb_8/privacy.html?accid=1203,success
珍茗好生活,居家生活,com.gemmy.kinbos.app.client,https://weixin.gemmy.com.cn/wx/helppage/UserPrivacyclause.html,success
平安好车主,居家生活,com.pingan.carowner,https://hcz-static.pingan.com.cn/fin-common/umc-uni-protocol/protocol.html#/privacy,success
360智慧生活,居家生活,com.qihoo.smart,https://home.360.cn/app/privacy_agreement_zh_cn.html,success
飞利浦水健康,居家生活,com.mxchip.philips,https://iot.deerma.com/html/2022_3_29_privacy_policy.html,success
天气物语,居家生活,com.xijia.wy.weather,http://3ktq.com/tqwy/tqwy_privacy_policy.html,success
美凯龙爱家-买房租房家具装修,居家生活,com.mkl.mkllovehome,https://app.mklij.com/pagesBase/privacyAgreement/index,success
打扮家服务者,居家生活,com.dabanjia.rikistaff,https://jia.dabanjia.com/static/user-registration-agreement/index.html,success
易微联,居家生活,com.coolkit,https://appcms.coolkit.cn/ewelink/privacy-ewelink/9842.html,success
郑生活-郑州人的生活圈,居家生活,com.yuxingqiu.app,http://app.zhenglife.com/mag/user/v1/user/privacy?&themecolor=1693d7&a=1223,success
天天吉历-万年历日历黄历天气,居家生活,com.calendar2345,http://www.77tianqi.com/h5/privacyPolicy.html,success
能量闹钟-冥想计时,居家生活,com.bozhong.energy,https://www.bozhong.com/event/privacy.html?type=energyalarm,success
交管12128查违章,居家生活,com.sqcat.wzquery,http://www.sqcat.cn/39f2d64d-74d9-47ce-97b5-5ad5dad09e46.html,success
打扮家,居家生活,com.dabanjia.rikiuser,https://jia.dabanjia.com/static/user-registration-agreement/index.html,success
滔滔房产视频,居家生活,com.moxi.taotaovideo,https://www.taotaovideo.cn/legal/privacy-agreement.html,success
宅家装,居家生活,uni.UNIC76DD0F,https://zjzadmin.zhaoshangbao.com/assets/Privacy.html,success
星空睡眠,居家生活,cn.szyy2106.sleep,http://www.szyy2106.cn/privacy_sleep.txt,success
幸福里,居家生活,com.f100.android,https://m.xflapp.com/magic/page/ejs/5f1e5048a0741302e84cea20?appType=manyhouse,success
酷家乐设计师,居家生活,com.qunhe.designer,https://m.kujiale.com/festatic/policy,success
上单,居家生活,com.android.dworderreceive,https://www.daoway.cn/app/sd/privacy.html,success
装修图库,居家生活,com.to8to.tuku,https://mapp.to8to.com/about/artical/detail/50,success
艾佳生活,居家生活,com.ihomefnt,https://huodong.ihomefnt.com/#/WebPrivatePolicyPage?version=1.0,success
全国违章查询,居家生活,cn.mucang.xiaomi.android.wz,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=35,success
河池同城APP,居家生活,com.chance.hechitongcheng,https://21chance.com/wweb_8/privacy.html,success
城市通,居家生活,com.www.ccoocity.ui,http://www.ccoo.cn/bqys.html,success
巴乐兔租房,居家生活,com.haimai.baletu,https://m.baletu.com/activity/privacypolicy,success
高明论坛,居家生活,com.appbyme.app107059,https://share.fs2000.cn/wap/download/private,success
麦滴管家Pro,居家生活,com.fh.gj,https://static.mdguanjia.com/mdlegal/privacy.html,success
吉时装师傅版,居家生活,uni.UNI86A95C0,https://www.jishizhuanghz.com/about/agreement/yinsi.html,success
雅观智能,居家生活,ai.argrace.oem,http://open.akeeta.tech/public/law_policy.html,success
玩转天全,居家生活,com.wztq.wanzhuantianquan,http://www.21chance.com/wweb_8/privacy.html?accid=1203,success
珍茗好生活,居家生活,com.gemmy.kinbos.app.client,https://weixin.gemmy.com.cn/wx/helppage/UserPrivacyclause.html,success
平安好车主,居家生活,com.pingan.carowner,https://hcz-static.pingan.com.cn/fin-common/umc-uni-protocol/protocol.html#/privacy,success
360智慧生活,居家生活,com.qihoo.smart,https://home.360.cn/app/privacy_agreement_zh_cn.html,success
飞利浦水健康,居家生活,com.mxchip.philips,https://iot.deerma.com/html/2022_3_29_privacy_policy.html,success
天气物语,居家生活,com.xijia.wy.weather,http://3ktq.com/tqwy/tqwy_privacy_policy.html,success
美凯龙爱家-买房租房家具装修,居家生活,com.mkl.mkllovehome,https://app.mklij.com/pagesBase/privacyAgreement/index,success
打扮家服务者,居家生活,com.dabanjia.rikistaff,https://jia.dabanjia.com/static/user-registration-agreement/index.html,success
易微联,居家生活,com.coolkit,https://appcms.coolkit.cn/ewelink/privacy-ewelink/9842.html,success
郑生活-郑州人的生活圈,居家生活,com.yuxingqiu.app,http://app.zhenglife.com/mag/user/v1/user/privacy?&themecolor=1693d7&a=1223,success
天天吉历-万年历日历黄历天气,居家生活,com.calendar2345,http://www.77tianqi.com/h5/privacyPolicy.html,success
能量闹钟-冥想计时,居家生活,com.bozhong.energy,https://www.bozhong.com/event/privacy.html?type=energyalarm,success
交管12128查违章,居家生活,com.sqcat.wzquery,http://www.sqcat.cn/39f2d64d-74d9-47ce-97b5-5ad5dad09e46.html,success
打扮家,居家生活,com.dabanjia.rikiuser,https://jia.dabanjia.com/static/user-registration-agreement/index.html,success
滔滔房产视频,居家生活,com.moxi.taotaovideo,https://www.taotaovideo.cn/legal/privacy-agreement.html,success
宅家装,居家生活,uni.UNIC76DD0F,https://zjzadmin.zhaoshangbao.com/assets/Privacy.html,success
星空睡眠,居家生活,cn.szyy2106.sleep,http://www.szyy2106.cn/privacy_sleep.txt,success
幸福里,居家生活,com.f100.android,https://m.xflapp.com/magic/page/ejs/5f1e5048a0741302e84cea20?appType=manyhouse,success
酷家乐设计师,居家生活,com.qunhe.designer,https://m.kujiale.com/festatic/policy,success
上单,居家生活,com.android.dworderreceive,https://www.daoway.cn/app/sd/privacy.html,success
装修图库,居家生活,com.to8to.tuku,https://mapp.to8to.com/about/artical/detail/50,success
艾佳生活,居家生活,com.ihomefnt,https://huodong.ihomefnt.com/#/WebPrivatePolicyPage?version=1.0,success
全国违章查询,居家生活,cn.mucang.xiaomi.android.wz,https://share-m.kakamobi.com/activity.kakamobi.com/mucang-privacy-policy-all/?id=35,success
河池同城APP,居家生活,com.chance.hechitongcheng,https://21chance.com/wweb_8/privacy.html,success
万年历老黄历,居家生活,com.jtjsb.calendar,http://ziye.ziyewl.com/h5/help/detail-282-828.html,success
瓜州同城,居家生活,com.chance.guazhoutongcheng,http://www.21chance.com/wweb_8/privacy.html?accid=414,success
天气预报,居家生活,com.lu.ashionweather,http://www.fingerflyapp.com/page_ashionweather/protocol/weather_app_protocol.jsp?appName=天气预报,success
塞罕云-智能物联-生活服务,居家生活,com.tqdk.simply,https://jb.cklock.cn/xieyi/dist/index.html#/?type=1,success
异乡好居,居家生活,com.yxhjandroid.uhouzzdis,https://static.uhzcdn.com/static/webapp/09/html/privacy.html,success
装修接单宝Pro,居家生活,io.dcloud.H524FEASY,https://xieyi.5jia.vip/zhuangxiujiedanbao.html,success
融易找房,居家生活,com.rongyizhaofang.elink_user,http://www.rongyizhaofang.com/about/privacy,success
实况天气,居家生活,com.beemans.weather.live,http://coin.makingmoney.cn:8088/static/private/com.beemans.weather.live_xiaomi.html,success
石材宝,居家生活,com.scb.scb126,http://scbstone.com/web/queryinstructionsweb?Id=2,success
准时天气大字版,居家生活,com.coodong.weather.big,https://www.coodong.net/?m=home&c=View&a=index&aid=115,success
益猪智慧社区,居家生活,com.zhongyi.myapplication,https://www.zykj0579.com/appdown/privacy.html,success
