ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
生日蛋糕-同城网红蛋糕预订平台,时尚购物,com.shengridangao.shop,https://srdg.h5.huajiaxianhua.com/pages/public/richtext?id=2,success
西建之家,时尚购物,com.yanghai.yjtshare.xijian,http://www.xijianzhijia.cn/nolay-yszc-pjid-kmyjds.html?TNW=BLANK,success
大渔供应链,时尚购物,com.dayu188.android,https://pifa.dayu188.com/mobile/#/articleDetail/2,success
盒马,时尚购物,com.wudaokou.hippo,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other201908122148_76955.html,success
吱了云,时尚购物,cn.zhileyun,http://www.zhileyun.cn/wap/article/detail/id/5,success
天马垂钓,时尚购物,com.tianmachuidiao.app,https://www.tianmachuidiao.com/agreement/private-agreement.html,success
指乎商家版,时尚购物,com.zhihu.business,https://h5.zhilianiot.com/static/privacyStatement.html,success
魔方黑卡-新人0元购,时尚购物,com.dmcb.mfhk,http://front.dm-cube.com/agreement/mfhk/secret.html,success
一网乐涛,时尚购物,com.letao.yiwangletao,http://com18.cn/Yiwangletao-PC/xieyi.html,success
便乐邻,时尚购物,com.bianlelin.user,https://m.bianlelin.com/agreement?code=USER_PRIVACY_POLICY_V2,success
当当,时尚购物,com.dangdang.buy2,http://h5.dangdang.com/mix_20190917_0pzl,success
女王幻幻,时尚购物,uni.UNI0D84C50,http://nwhhvip.com/ys/index.html,success
i茅台,时尚购物,com.moutai.mall,https://h5.moutai519.com.cn/mt/agreement/private,success
艺典,时尚购物,com.yidian.buyer,http://topic.yidianchina.com/wwwPrivacy/privacyagreement.html,success
一点生活,时尚购物,com.yidianshenghuoydsh.app,http://www.simpleto.cn/privacy.html,success
药速宝,时尚购物,com.lc.yaosubao,http://shuju.yaosubao.com/index.php/interfaces/Auth/webView?field=shop_yinsi,success
淘大集,时尚购物,cn.com.taodaji,https://www.taodaji.com.cn/pro.html,success
照现生态,时尚购物,com.eascs.zhaoxian,https://web.you-dian.cn/rulesExplain.html#/?token=&appname=EAYWD_FRIENDSHIPSHOP_ANDROID_6.1.8&level=&type=artical&id=129&env=release&jwt=null,success
云农吧,时尚购物,com.cloudshd.ynb,https://ynb1.com/static/policy.html,success
SNKRS,时尚购物,com.nike.snkrs,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect,success
好乐淘,时尚购物,cn.buding.gumpert.xio,https://u.wcar.net.cn/3td,success
叮铃邻,时尚购物,com.yykj.chat,https://lbapi.gdyunyin.com/typroject/privacyPolicy1.html,success
九机网,时尚购物,ch999.app.UI,https://m.9ji.com/doc/manual/privacy,success
壹号拍,时尚购物,live.hooli.top,http://www.yihaopm.com/privacy-statement/,success
闪萌牛牛,时尚购物,im.weshine.nft,https://meta.weshineapp.com/agreement/privacy/,success
爱采购,时尚购物,com.hengshuokeji.aicaigou,http://175.6.12.93:8036/aicg/privateP.html,success
多特瑞,时尚购物,com.doterra.app,https://cvo.doterra.cn/vo/policy.html,success
沂联生活,时尚购物,com.bz.yilianlife,https://tool.ymzhsq.com/index/agreement/index.html,success
爱你省优惠券,时尚购物,com.jwl.tomato,https://ainishengapp.com/privacy/index.html,success
巨省优惠券,时尚购物,com.ansxm.muchsavecop,https://ainishengapp.com/privacy/index.html?appCode=JS,success
生日蛋糕-同城网红蛋糕预订平台,时尚购物,com.shengridangao.shop,https://srdg.h5.huajiaxianhua.com/pages/public/richtext?id=2,success
西建之家,时尚购物,com.yanghai.yjtshare.xijian,http://www.xijianzhijia.cn/nolay-yszc-pjid-kmyjds.html?TNW=BLANK,success
大渔供应链,时尚购物,com.dayu188.android,https://pifa.dayu188.com/mobile/#/articleDetail/2,success
盒马,时尚购物,com.wudaokou.hippo,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other201908122148_76955.html,success
吱了云,时尚购物,cn.zhileyun,http://www.zhileyun.cn/wap/article/detail/id/5,success
天马垂钓,时尚购物,com.tianmachuidiao.app,https://www.tianmachuidiao.com/agreement/private-agreement.html,success
指乎商家版,时尚购物,com.zhihu.business,https://h5.zhilianiot.com/static/privacyStatement.html,success
魔方黑卡-新人0元购,时尚购物,com.dmcb.mfhk,http://front.dm-cube.com/agreement/mfhk/secret.html,success
一网乐涛,时尚购物,com.letao.yiwangletao,http://com18.cn/Yiwangletao-PC/xieyi.html,success
便乐邻,时尚购物,com.bianlelin.user,https://m.bianlelin.com/agreement?code=USER_PRIVACY_POLICY_V2,success
当当,时尚购物,com.dangdang.buy2,http://h5.dangdang.com/mix_20190917_0pzl,success
女王幻幻,时尚购物,uni.UNI0D84C50,http://nwhhvip.com/ys/index.html,success
i茅台,时尚购物,com.moutai.mall,https://h5.moutai519.com.cn/mt/agreement/private,success
艺典,时尚购物,com.yidian.buyer,http://topic.yidianchina.com/wwwPrivacy/privacyagreement.html,success
一点生活,时尚购物,com.yidianshenghuoydsh.app,http://www.simpleto.cn/privacy.html,success
药速宝,时尚购物,com.lc.yaosubao,http://shuju.yaosubao.com/index.php/interfaces/Auth/webView?field=shop_yinsi,success
淘大集,时尚购物,cn.com.taodaji,https://www.taodaji.com.cn/pro.html,success
照现生态,时尚购物,com.eascs.zhaoxian,https://web.you-dian.cn/rulesExplain.html#/?token=&appname=EAYWD_FRIENDSHIPSHOP_ANDROID_6.1.8&level=&type=artical&id=129&env=release&jwt=null,success
云农吧,时尚购物,com.cloudshd.ynb,https://ynb1.com/static/policy.html,success
SNKRS,时尚购物,com.nike.snkrs,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect,success
好乐淘,时尚购物,cn.buding.gumpert.xio,https://u.wcar.net.cn/3td,success
叮铃邻,时尚购物,com.yykj.chat,https://lbapi.gdyunyin.com/typroject/privacyPolicy1.html,success
九机网,时尚购物,ch999.app.UI,https://m.9ji.com/doc/manual/privacy,success
壹号拍,时尚购物,live.hooli.top,http://www.yihaopm.com/privacy-statement/,success
闪萌牛牛,时尚购物,im.weshine.nft,https://meta.weshineapp.com/agreement/privacy/,success
爱采购,时尚购物,com.hengshuokeji.aicaigou,http://175.6.12.93:8036/aicg/privateP.html,success
多特瑞,时尚购物,com.doterra.app,https://cvo.doterra.cn/vo/policy.html,success
沂联生活,时尚购物,com.bz.yilianlife,https://tool.ymzhsq.com/index/agreement/index.html,success
爱你省优惠券,时尚购物,com.jwl.tomato,https://ainishengapp.com/privacy/index.html,success
巨省优惠券,时尚购物,com.ansxm.muchsavecop,https://ainishengapp.com/privacy/index.html?appCode=JS,success
鱼虾蟹,时尚购物,com.yuxiaxieapp.junhao,https://www.pengzhankj.top/nd.jsp?id=17,success
食行生鲜,时尚购物,com.gem.tastyfood,https://wechat-1.34580.com/help/help?size=2&id=73,success
指乎,时尚购物,com.fingershopping,https://h5.zhilianiot.com/static/privacyStatement.html,success
简禾易购,时尚购物,com.jianheyigou.purchaser,https://shop.jianheyigou.cn/privacy/GoMeiPurchaserUserPrivacyAgreement.html,success
快豹生活,时尚购物,com.ertls.kuaibao,http://itui.ertls.cn/static/html/privacy_protocol.html,success
竹必木威,时尚购物,com.zhubimu.moodshop,http://www.chuzhuoxinxikeji.cn/mzbw.html,success
元星球数藏,时尚购物,com.iyuanxingqiu,https://www.iyuanxingqiu.com/server/privacy_policy.html,success
永辉生活,时尚购物,cn.yonghui.hyd,https://m.yonghuivip.com/yh-activity/user_privacy/index.html,success
辛超师傅,时尚购物,cn.xinchaoyun.worker,https://www.xinchaoyun.cn/privacy_clause_sf.html,success
济商盟,时尚购物,com.huizu.ditang,http://share.huizukeji.cn/index/index/text?id=83,success
話梅-全球精品护肤美妆购物平台,时尚购物,com.harmay.harmay,https://m.harmay.com/legal/privacy-policy.html,success
奇麟鲜品商家版,时尚购物,com.easyder.qinlin.supplier,http://h5.qilin70.cn/pagesLogin/views/login/agreementPrivacy,success
IKEA宜家家居,时尚购物,com.ingka.ikea.app.cn.prod,https://res.app.ikea.cn/page/privacy_policy.html,success
肥猫网,时尚购物,com.odx_app,https://www.ottemall.com/h5/#/policy/privacy,success
番茄严选,时尚购物,com.tomatocn.app,http://www.tomatogou.com/nd.jsp?id=15,success
有肆,时尚购物,com.yousiclub.youthapp,http://www.yousiclub.com/yszc.html,success
链淘惠,时尚购物,com.liantaoapp.liantao,https://lt.sichuananpeng.com/h5/app/protocol_privacy/,success
好店连连联盟,时尚购物,com.xyh.union,http://spread.league.linkiebuy.com/pages/user/h5Pages/index?id=3,success
五新好生活,时尚购物,com.hsh.mall,https://fivenew.ihaoshenghuo.com/privacy,success
万表二手表,时尚购物,com.wbiao.wbauction,https://m.wbiao.cn/topics/sharepolicy/,success
奇麟鲜品,时尚购物,com.easyder.qinlin.user,http://h5.qilin70.cn/pagesLogin/views/login/agreementPrivacy,success
喵福利,时尚购物,com.moshuang.miaofuli,https://www.miaofuli.cn/screen/privacy-policy/pages/index/index.html,success
赚赚严选,时尚购物,com.ahrykj.niuzhuanzhuan,https://www.zhuanzhuanyanxuan.com/#/user/agreement,success
特购,时尚购物,com.tegou.zhongyu,http://www.tego.net.cn/index/index/privacypolicy,success
有米日记,时尚购物,com.lhwlkj.ymrjapp,https://ymrjimages.kjyoumi.com/document/PrivacyRegulations220321.pdf,success
花生找车,时尚购物,com.chebaoyan.hszc,http://api.huashengyouxuan.com/h5/agreement/privacyPolicy.html,success
全拍网,时尚购物,com.qpw.auction,https://api.allauc.com/index/index/article.html,success
货捕头杭州女装网一手服装批发网,时尚购物,com.leoman.acquire,https://www.hznzcn.com/membercenter/agreement,success
亿硕花卉,时尚购物,com.sdkj.flower,https://www.yshh.shop/yszc.html,success
惠很多生活,时尚购物,cn.huihenduocn.app,https://mall.huihenduocn.cn/privacy.html,success
生日蛋糕-同城网红蛋糕预订平台,时尚购物,com.shengridangao.shop,https://srdg.h5.huajiaxianhua.com/pages/public/richtext?id=2,success
西建之家,时尚购物,com.yanghai.yjtshare.xijian,http://www.xijianzhijia.cn/nolay-yszc-pjid-kmyjds.html?TNW=BLANK,success
大渔供应链,时尚购物,com.dayu188.android,https://pifa.dayu188.com/mobile/#/articleDetail/2,success
盒马,时尚购物,com.wudaokou.hippo,https://terms.alicdn.com/legal-agreement/terms/suit_bu1_other/suit_bu1_other201908122148_76955.html,success
吱了云,时尚购物,cn.zhileyun,http://www.zhileyun.cn/wap/article/detail/id/5,success
天马垂钓,时尚购物,com.tianmachuidiao.app,https://www.tianmachuidiao.com/agreement/private-agreement.html,success
指乎商家版,时尚购物,com.zhihu.business,https://h5.zhilianiot.com/static/privacyStatement.html,success
魔方黑卡-新人0元购,时尚购物,com.dmcb.mfhk,http://front.dm-cube.com/agreement/mfhk/secret.html,success
一网乐涛,时尚购物,com.letao.yiwangletao,http://com18.cn/Yiwangletao-PC/xieyi.html,success
便乐邻,时尚购物,com.bianlelin.user,https://m.bianlelin.com/agreement?code=USER_PRIVACY_POLICY_V2,success
当当,时尚购物,com.dangdang.buy2,http://h5.dangdang.com/mix_20190917_0pzl,success
女王幻幻,时尚购物,uni.UNI0D84C50,http://nwhhvip.com/ys/index.html,success
i茅台,时尚购物,com.moutai.mall,https://h5.moutai519.com.cn/mt/agreement/private,success
艺典,时尚购物,com.yidian.buyer,http://topic.yidianchina.com/wwwPrivacy/privacyagreement.html,success
一点生活,时尚购物,com.yidianshenghuoydsh.app,http://www.simpleto.cn/privacy.html,success
药速宝,时尚购物,com.lc.yaosubao,http://shuju.yaosubao.com/index.php/interfaces/Auth/webView?field=shop_yinsi,success
淘大集,时尚购物,cn.com.taodaji,https://www.taodaji.com.cn/pro.html,success
照现生态,时尚购物,com.eascs.zhaoxian,https://web.you-dian.cn/rulesExplain.html#/?token=&appname=EAYWD_FRIENDSHIPSHOP_ANDROID_6.1.8&level=&type=artical&id=129&env=release&jwt=null,success
云农吧,时尚购物,com.cloudshd.ynb,https://ynb1.com/static/policy.html,success
SNKRS,时尚购物,com.nike.snkrs,https://agreementservice.svs.nike.com/cn/zh_cn/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=CN&language=zh&requestType=redirect,success
好乐淘,时尚购物,cn.buding.gumpert.xio,https://u.wcar.net.cn/3td,success
