ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
微篇,聊天社交,com.vv51.vpian,https://p.51vv.com/wx/m/aboutme/protocol_private.html,success
心颜,聊天社交,com.netease.xinyan,https://h5.wave.163.com/m/at/6242b62e97858faed8802f1e,success
对玩,聊天社交,com.yyhd.happywolf,https://h5.thlrs.com/inline/settings/privacy/index.html,success
无线荆州,聊天社交,com.jingzhou,http://share.jztvxmt.com/wap/download/private,success
馋味坊,聊天社交,com.anonymous.jxyp,https://kdocs.cn/l/covrTXb8R1ja,success
黄瓜视频交友,聊天社交,com.xy.huanggua,https://www.hfxinyilive.com/app/hgspsq/privacy/index.html,success
寻花,聊天社交,com.tm.xunhuan,https://shimo.im/docs/gO3ox0ngVMID7zqD/ ,success
必壹爱,聊天社交,com.biyiai.app,https://www.biyiai.com/m/about.php?t=pyclause,success
唔哩星球-二次元聊天交友,聊天社交,com.guji.loveparty,http://h5.guji-inc.com/agreement,success
十点聊天-社交聊天软件,聊天社交,com.bingo.yeliao,http://www.yeliaovip.com/protocol.html,success
同娱 - 同屏娱乐同屏一起聊,聊天社交,com.ivideohome.synchfun,https://www.ivideohome.com/common/tp-privacy-mobile,success
飞鸽博客,聊天社交,com.feige.com,https://feigeblog.com/web/home/rule_private,success
COCO电音,聊天社交,com.zqb.cocoradio,https://cocodown.junzhi169.com/front/privacyPolicy/policy.html,success
爱约会-附近约陌生交友,聊天社交,com.chunhua.tcmy,https://xiuqiu.qiujiaoyou.net/h5/static/agreement/private/private-agreement.html?companyNameZh=5YyX5Lqs5LmZ5pyq5paH6L6+56eR5oqA5pyJ6ZmQ5YWs5Y+4&appNameZh=54ix57qm5Lya&,success
V聊,聊天社交,com.vliao.vchat,http://sp69.xiaomi.vliao12.com:8668/html/privacy.html,success
缘宝,聊天社交,com.bysun.android,http://www.yuanbaohurry.cn/private.html,success
可话,聊天社交,com.app.tideswing,https://www.tideswing.fun/privacy-policy,success
扩列漂流瓶,聊天社交,dream.com.piao,https://riceball.zhuangb123.com/meet-yszc,success
PicoPico-在线恋爱主题乐园,聊天社交,com.xintiaotime.yoy,https://api.picopi.cn/h5/app/privacy.html,success
派派,聊天社交,com.ifreetalk.ftalk,https://www.17paipai.cn/privacy.html,success
对缘同城版,聊天社交,com.lingxi.city,https://activity.me.inke.cn/770,success
墩墩星球,聊天社交,cn.beiyin,https://guifan.91w8.cn/Privacy-beiyin.html,success
牵寻,聊天社交,com.mostone.gochat,https://www.92qianxun.com/agreement/3,success
在吗,聊天社交,com.zaimashopvbnm.good,http://zaima.meiyue.co/api/page/index/id/3,success
邦豪体育,聊天社交,com.qyc.wxl.bangforum,https://banghao.59156.cn/app/document/yinshi,success
贝克街推理学院,聊天社交,net.tuilixy.app,http://www.tuilixy.net/topic/privacy,success
鱼耳直播-高颜值游戏直播平台,聊天社交,com.yangle.xiaoyuzhou,https://web.xxqapp.cn/pandora/352,success
谜圈剧本杀,聊天社交,com.jdcw.trendplay,http://www.quyanyu.cn/pages/document/protocol/protocol?type=3,success
美篇,聊天社交,com.lanjingren.ivwen,https://www.meipian.cn/29vb1v8v,success
王者营地,聊天社交,com.tencent.gamehelper.smoba,https://privacy.qq.com/,success
微篇,聊天社交,com.vv51.vpian,https://p.51vv.com/wx/m/aboutme/protocol_private.html,success
心颜,聊天社交,com.netease.xinyan,https://h5.wave.163.com/m/at/6242b62e97858faed8802f1e,success
对玩,聊天社交,com.yyhd.happywolf,https://h5.thlrs.com/inline/settings/privacy/index.html,success
无线荆州,聊天社交,com.jingzhou,http://share.jztvxmt.com/wap/download/private,success
馋味坊,聊天社交,com.anonymous.jxyp,https://kdocs.cn/l/covrTXb8R1ja,success
黄瓜视频交友,聊天社交,com.xy.huanggua,https://www.hfxinyilive.com/app/hgspsq/privacy/index.html,success
寻花,聊天社交,com.tm.xunhuan,https://shimo.im/docs/gO3ox0ngVMID7zqD/ ,success
必壹爱,聊天社交,com.biyiai.app,https://www.biyiai.com/m/about.php?t=pyclause,success
唔哩星球-二次元聊天交友,聊天社交,com.guji.loveparty,http://h5.guji-inc.com/agreement,success
十点聊天-社交聊天软件,聊天社交,com.bingo.yeliao,http://www.yeliaovip.com/protocol.html,success
同娱 - 同屏娱乐同屏一起聊,聊天社交,com.ivideohome.synchfun,https://www.ivideohome.com/common/tp-privacy-mobile,success
飞鸽博客,聊天社交,com.feige.com,https://feigeblog.com/web/home/rule_private,success
COCO电音,聊天社交,com.zqb.cocoradio,https://cocodown.junzhi169.com/front/privacyPolicy/policy.html,success
爱约会-附近约陌生交友,聊天社交,com.chunhua.tcmy,https://xiuqiu.qiujiaoyou.net/h5/static/agreement/private/private-agreement.html?companyNameZh=5YyX5Lqs5LmZ5pyq5paH6L6+56eR5oqA5pyJ6ZmQ5YWs5Y+4&appNameZh=54ix57qm5Lya&,success
V聊,聊天社交,com.vliao.vchat,http://sp69.xiaomi.vliao12.com:8668/html/privacy.html,success
缘宝,聊天社交,com.bysun.android,http://www.yuanbaohurry.cn/private.html,success
可话,聊天社交,com.app.tideswing,https://www.tideswing.fun/privacy-policy,success
扩列漂流瓶,聊天社交,dream.com.piao,https://riceball.zhuangb123.com/meet-yszc,success
PicoPico-在线恋爱主题乐园,聊天社交,com.xintiaotime.yoy,https://api.picopi.cn/h5/app/privacy.html,success
派派,聊天社交,com.ifreetalk.ftalk,https://www.17paipai.cn/privacy.html,success
对缘同城版,聊天社交,com.lingxi.city,https://activity.me.inke.cn/770,success
墩墩星球,聊天社交,cn.beiyin,https://guifan.91w8.cn/Privacy-beiyin.html,success
牵寻,聊天社交,com.mostone.gochat,https://www.92qianxun.com/agreement/3,success
在吗,聊天社交,com.zaimashopvbnm.good,http://zaima.meiyue.co/api/page/index/id/3,success
邦豪体育,聊天社交,com.qyc.wxl.bangforum,https://banghao.59156.cn/app/document/yinshi,success
贝克街推理学院,聊天社交,net.tuilixy.app,http://www.tuilixy.net/topic/privacy,success
鱼耳直播-高颜值游戏直播平台,聊天社交,com.yangle.xiaoyuzhou,https://web.xxqapp.cn/pandora/352,success
