ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
天天记账,金融理财,com.tiantian.jizhang,https://docs.qq.com/doc/DWFd5b1V2TkFWb3BH,success
八戒金服-小额借贷款平台,金融理财,com.hzysxxkj.bajie,http://bjjf.hzysxxkj.com/html/agreement/privacyAgreement.html,success
财源滚滚-股票炒股理财,金融理财,com.yuanda.cy_professional_select_stock,http://law.gujunshi.com.cn/,success
益学堂,金融理财,com.yxcps.trainning,https://stocksf.yxcps.cn/app/cpxldsmp/intro/privacy.html,success
信管家期货,金融理财,com.letterbutler.futures,https://www.showdoc.com.cn/p/40f12196c77931e4f03085a5dabf69c5,success
易方达e钱包,金融理财,com.efund.jqb,https://static.efunds.com.cn/html/upd/efiles/privacyPolicy/index.html,success
BOC,金融理财,com.boc.bocsoft.bocmbovsa.buss,https://ap.ebs.bankofchina.com/OceanVue/AppMarketPriPolicy/index.html#/country?_locale=zh_CN,success
众安保险,金融理财,com.zhongan.insurance,https://static.zhongan.com/website/mobile/dm-h5/privacy.html,success
合伙记账本,金融理财,com.hehuozhang.hehuojizhangben,https://hehuozhang.feixiabd.com/?a=yinsi,success
优逸花,金融理财,com.msxf.newzy,https://vayh.msxf.com/protocol/privacy_protocol ,success
浦发银行,金融理财,cn.com.spdb.mobilebank.per,https://www.spdb.com.cn/ebank_2403/personal_online_banking/202001/t20200108_398962.shtml,success
指南针基金,金融理财,com.compass.znzfund,https://fundportal.compass.cn/private_policy.html,success
爱股票,金融理财,com.aigupiao.ui,https://mobile.aigupiao.com/Agreement/privacyPolicy?is_zx=1,success
腾讯自选股-新客领现金,金融理财,com.tencent.portfolio,http://www.qq.com/privacy.htm,success
中欧财富,金融理财,com.qiangungun,https://galaxy.qiangungun.com/galaxy/share/privacyPolicy/android/main.html,success
嘉实理财嘉,金融理财,com.harvestfund2,https://static.jsfund.cn/lcj/zipfile/share/962de762bd90422aba515ba1a955d2c1/index.html,success
龙头股实战版,金融理财,com.caimi.ltg,https://ltgwww.integrity.com.cn/public/privacy-protocol.html,success
小店邦,金融理财,cn.shuhe.businessloan,https://lattestatic.lattebank.com/directsale/privacyProtection.html,success
恒泰金玉管家,金融理财,com.hexin.plat.android.HengtaiSecurity,https://www.cnht.com.cn/main/a/20210712/19481.shtml,success
申万期货开户交易,金融理财,com.sywgqh.openaccount,https://www.sywgqh.com.cn/upload/clause_kh.html,success
宝城期货开户云,金融理财,com.baochengkhy.pbmobile,https://www.bcqhgs.com/kfdetail.shtml#HQJYRJWT_749 ,success
和包,金融理财,com.cmcc.hebao,https://www.cmpay.com/info/wap/client/flow/rightsOfprivacy.html,success
苏宁金融,金融理财,com.suning.mobile.epa,https://respay.suning.com/epps-pps/person/agreement/privacyProtocol.html,success
女生记账,金融理财,com.missu.bill,http://conf.koudaionline.com/missu_privacy.htm,success
百事AA记账,金融理财,com.bestrie.aa,https://mp.weixin.qq.com/s/IikzdL2x6wVa8-KcxgxwuA,success
市值风云,金融理财,com.paiba.app000004,https://file.wogoo.com/app/agreement/privacy-android.html,success
约牛股票,金融理财,com.yueniu.finance,http://gw.51888.cn/static/megagame/privacyPolicy.html,success
股参谋,金融理财,com.jujing.ncm,http://www.jjzqtz.com/product/jzx/privacy.html,success
合利付,金融理财,com.helipay.hlf,https://helifu-static.helipay.com/s/agreement/5/10108350.html,success
借钱宝,金融理财,com.ruozhuo.jqb,https://h5.jingfan-inc.com/eros-smartlink/universalPage/protocol/?type=private&from=com.ruozhuo.jqb,success
天天记账,金融理财,com.tiantian.jizhang,https://docs.qq.com/doc/DWFd5b1V2TkFWb3BH,success
八戒金服-小额借贷款平台,金融理财,com.hzysxxkj.bajie,http://bjjf.hzysxxkj.com/html/agreement/privacyAgreement.html,success
财源滚滚-股票炒股理财,金融理财,com.yuanda.cy_professional_select_stock,http://law.gujunshi.com.cn/,success
益学堂,金融理财,com.yxcps.trainning,https://stocksf.yxcps.cn/app/cpxldsmp/intro/privacy.html,success
信管家期货,金融理财,com.letterbutler.futures,https://www.showdoc.com.cn/p/40f12196c77931e4f03085a5dabf69c5,success
易方达e钱包,金融理财,com.efund.jqb,https://static.efunds.com.cn/html/upd/efiles/privacyPolicy/index.html,success
